--- Iterations ---
Total Iterations: 945,946,198
Ext Iterations: 452,119,038
TSP Iterations: 493,827

--- Statistics ---
Minimum Distance: 0.13213
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.021    158.5
1      #230001  35,0,1         0.161    0.066    26.2
2      #3a003d  58,0,61        0.246    0.115    325.3
3      #71003f  113,0,63       0.358    0.146    356.1
4      #a20004  162,0,4        0.447    0.183    28.7
5      #be5000  190,80,0       0.566    0.159    46.0
6      #b78a68  183,138,104    0.668    0.073    57.7
7      #a0a800  160,168,0      0.701    0.156    112.9
8      #abbf9e  171,191,158    0.781    0.051    132.3
9      #ffd299  255,210,153    0.889    0.089    72.9
10     #f7a400  247,164,0      0.782    0.167    73.0
11     #c7d302  199,211,2      0.830    0.186    113.9
12     #fefc01  254,252,1      0.960    0.209    109.2
13     #b7ffb6  183,255,182    0.934    0.121    144.3
14     #ffffff  255,255,255    1.000    0.000    358.9
15     #c0daff  192,218,255    0.881    0.058    257.0
16     #1cc8ff  28,200,255     0.777    0.147    227.5
17     #01f9ff  1,249,255      0.892    0.152    197.7
18     #01ea9a  1,234,154      0.826    0.188    159.6
19     #68ff02  104,255,2      0.881    0.274    138.4
20     #05c900  5,201,0        0.726    0.247    142.4
21     #0e9c01  14,156,1       0.601    0.203    142.1
22     #02b98c  2,185,140      0.697    0.141    167.9
23     #759eb8  117,158,184    0.679    0.059    236.4
24     #6e88ff  110,136,255    0.665    0.177    271.4
25     #b9a6ff  185,166,255    0.775    0.126    293.2
26     #ffaece  255,174,206    0.837    0.103    354.1
27     #ff7ffe  255,127,254    0.785    0.216    327.6
28     #bd66ff  189,102,255    0.676    0.223    307.6
29     #bd64a6  189,100,166    0.627    0.140    337.8
30     #826a71  130,106,113    0.551    0.032    359.7
31     #837900  131,121,0      0.568    0.120    103.7
32     #6b4d00  107,77,0       0.442    0.091    83.2
33     #4c2600  76,38,0        0.315    0.074    59.2
34     #012300  1,35,0         0.223    0.075    141.9
35     #074800  7,72,0         0.349    0.116    141.5
36     #007005  0,112,5        0.474    0.160    142.8
37     #008b75  0,139,117      0.570    0.107    176.1
38     #207cbb  32,124,187     0.564    0.127    244.4
39     #7b56c1  123,86,193     0.544    0.162    296.5
40     #1d5fff  29,95,255      0.555    0.245    263.4
41     #0300f2  3,0,242        0.434    0.300    264.3
42     #004dae  0,77,174       0.443    0.169    258.7
43     #0100a3  1,0,163        0.324    0.224    264.3
44     #4c0086  76,0,134       0.344    0.183    300.8
45     #6000d3  96,0,211       0.449    0.253    290.5
46     #9a06ff  154,6,255      0.563    0.294    302.2
47     #c400c2  196,0,194      0.575    0.263    328.8
48     #fa00fe  250,0,254      0.694    0.320    327.7
49     #fe01a4  254,1,164      0.656    0.272    351.3
50     #ff7198  255,113,152    0.729    0.176    5.4
51     #fc6701  252,103,1      0.693    0.201    44.1
52     #f30146  243,1,70       0.610    0.244    18.4
53     #ba0b6e  186,11,110     0.518    0.208    355.1
54     #880094  136,0,148      0.449    0.211    323.9
55     #5f4373  95,67,115      0.435    0.083    309.7
56     #006061  0,96,97        0.443    0.075    196.7
57     #003652  0,54,82        0.315    0.072    239.5
58     #06005c  6,0,92         0.218    0.146    267.4
59     #00001d  0,0,29         0.105    0.072    264.5
