--- Iterations ---
Total Iterations: 274,902,604
Ext Iterations: 116,329,216
TSP Iterations: 158,573

--- Statistics ---
Minimum Distance: 0.16943
Std Dev of NN Distances: 0.00013

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.023    330.3
1      #011000  1,16,0         0.153    0.051    141.4
2      #46001b  70,0,27        0.253    0.101    6.2
3      #87004f  135,0,79       0.407    0.167    354.6
4      #724500  114,69,0       0.434    0.095    68.3
5      #003e04  0,62,4         0.316    0.104    143.5
6      #027200  2,114,0        0.478    0.162    142.4
7      #01aa00  1,170,0        0.639    0.217    142.5
8      #987c00  152,124,0      0.595    0.122    93.1
9      #fe7120  254,113,32     0.710    0.192    44.8
10     #d20100  210,1,0        0.543    0.223    29.2
11     #ff398c  255,57,140     0.670    0.237    1.1
12     #bb00b4  187,0,180      0.552    0.251    330.4
13     #fe2eff  254,46,255     0.713    0.306    328.1
14     #a66eff  166,110,255    0.665    0.207    298.4
15     #1fa7ff  31,167,255     0.702    0.167    244.7
16     #a7d2ff  167,210,255    0.848    0.078    250.3
17     #ffffff  255,255,255    1.000    0.000    308.1
18     #7fffc2  127,255,194    0.910    0.144    161.0
19     #fafd00  250,253,0      0.960    0.211    110.7
20     #02fc07  2,252,7        0.859    0.291    142.6
21     #b3c300  179,195,0      0.777    0.177    115.6
22     #ffc094  255,192,148    0.855    0.093    56.0
23     #ff99ed  255,153,237    0.814    0.159    333.8
24     #b198a1  177,152,161    0.705    0.031    354.2
25     #00c8ad  0,200,173      0.746    0.137    178.2
26     #008d90  0,141,144      0.584    0.099    197.0
27     #8a5e87  138,94,135     0.544    0.081    328.7
28     #125378  18,83,120      0.422    0.088    239.9
29     #0566f0  5,102,240      0.550    0.222    260.1
30     #0101cd  1,1,205        0.384    0.265    264.2
31     #7100d8  113,0,216      0.475    0.259    295.8
32     #48007d  72,0,125       0.330    0.174    301.8
33     #010050  1,0,80         0.196    0.134    265.1
