--- Iterations ---
Total Iterations: 325,704,770
Ext Iterations: 137,913,275
TSP Iterations: 187,791

--- Statistics ---
Minimum Distance: 0.16452
Std Dev of NN Distances: 0.00019

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.011    33.1
1      #210000  33,0,0         0.156    0.064    28.7
2      #193000  25,48,0        0.278    0.077    131.9
3      #620100  98,1,0         0.313    0.127    29.5
4      #604e4a  96,78,74       0.442    0.024    35.9
5      #9d6e01  157,110,1      0.572    0.119    79.0
6      #ac1200  172,18,0       0.473    0.186    30.7
7      #fd010c  253,1,12       0.626    0.256    28.6
8      #f18401  241,132,1      0.719    0.172    58.0
9      #ffc494  255,196,148    0.863    0.092    60.6
10     #ffffff  255,255,255    1.000    0.000    199.4
11     #81ffbe  129,255,190    0.910    0.146    158.9
12     #f9ff02  249,255,2      0.963    0.212    111.5
13     #0ffe01  15,254,1       0.864    0.293    142.4
14     #b8cb01  184,203,1      0.800    0.183    116.3
15     #01c9a1  1,201,161      0.745    0.145    171.5
16     #00a404  0,164,4        0.622    0.211    142.6
17     #006c01  0,108,1        0.460    0.156    142.5
18     #2b8785  43,135,133     0.572    0.084    192.9
19     #9062a0  144,98,160     0.568    0.107    317.3
20     #8e0071  142,0,113      0.437    0.189    340.1
21     #da0093  218,0,147      0.588    0.246    349.1
22     #ff3cf8  255,60,248     0.718    0.292    329.6
23     #b486ff  180,134,255    0.715    0.175    299.8
24     #a99da1  169,157,161    0.707    0.016    355.4
25     #ff70a1  255,112,161    0.731    0.179    1.4
26     #ffb2ff  255,178,255    0.860    0.132    326.8
27     #90d7ff  144,215,255    0.845    0.091    234.2
28     #01a6fa  1,166,250      0.696    0.166    242.3
29     #5963ff  89,99,255      0.585    0.228    274.1
30     #ab01ff  171,1,255      0.583    0.298    307.3
31     #6500c1  101,0,193      0.438    0.238    296.5
32     #0400fc  4,0,252        0.449    0.310    264.3
33     #0056a5  0,86,165       0.457    0.144    253.8
34     #030099  3,0,153        0.310    0.213    264.7
35     #46005d  70,0,93        0.295    0.146    314.9
36     #000043  0,0,67         0.173    0.119    264.4
