--- Iterations ---
Total Iterations: 39,517,100
Ext Iterations: 4,400,502
TSP Iterations: 35,116

--- Statistics ---
Minimum Distance: 0.24314
Std Dev of NN Distances: 0.00019

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.012    197.3
1      #010077  1,0,119        0.257    0.177    264.5
2      #2110ff  33,16,255      0.464    0.305    267.2
3      #0081ae  0,129,174      0.566    0.116    232.0
4      #07a600  7,166,0        0.628    0.213    142.3
5      #00d7dc  0,215,220      0.798    0.136    197.4
6      #9dfd01  157,253,1      0.899    0.249    131.8
7      #ffab3e  255,171,62     0.806    0.154    69.0
8      #ffffff  255,255,255    1.000    0.000    315.7
9      #e5a0ff  229,160,255    0.806    0.147    316.4
10     #fe008a  254,0,138      0.647    0.263    359.3
11     #b30bff  179,11,255     0.595    0.298    309.5
12     #86006b  134,0,107      0.419    0.182    339.6
13     #a95d00  169,93,0       0.555    0.131    59.7
14     #045200  4,82,0         0.382    0.129    142.1
15     #3b0000  59,0,0         0.222    0.090    29.6
