--- Iterations ---
Total Iterations: 109,924,951
Ext Iterations: 37,359,794
TSP Iterations: 72,565

--- Statistics ---
Minimum Distance: 0.20179
Std Dev of NN Distances: 0.00014

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    159.4
1      #01005c  1,0,92         0.216    0.148    264.7
2      #5e0060  94,0,96        0.340    0.157    327.4
3      #2c00c6  44,0,198       0.389    0.249    272.9
4      #355d7d  53,93,125      0.464    0.069    244.0
5      #8c3000  140,48,0       0.440    0.135    41.1
6      #bb0085  187,0,133      0.527    0.223    346.2
7      #ff010d  255,1,13       0.628    0.257    28.5
8      #b27e01  178,126,1      0.628    0.130    79.5
9      #fdb66b  253,182,107    0.829    0.124    66.5
10     #ffff02  255,255,2      0.967    0.211    109.8
11     #ffffff  255,255,255    0.999    0.000    346.3
12     #ffadfe  255,173,254    0.853    0.140    327.0
13     #ff3cf4  255,60,244     0.716    0.288    330.6
14     #9e03ff  158,3,255      0.567    0.296    303.5
15     #0070ff  0,112,255      0.583    0.229    259.3
16     #a581bb  165,129,187    0.658    0.094    312.5
17     #00c7fe  0,199,254      0.773    0.149    227.0
18     #07ffc2  7,255,194      0.888    0.180    167.4
19     #0ec033  14,192,51      0.703    0.221    144.6
20     #007c03  0,124,3        0.507    0.171    142.7
21     #003d00  0,61,0         0.314    0.107    142.5
22     #2b0001  43,0,1         0.182    0.074    28.0
