--- Iterations ---
Total Iterations: 522,556,026
Ext Iterations: 244,778,249
TSP Iterations: 277,777

--- Statistics ---
Minimum Distance: 0.14939
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.007    113.7
1      #190006  25,0,6         0.138    0.055    6.6
2      #002501  0,37,1         0.228    0.077    142.9
3      #521800  82,24,0        0.300    0.094    40.3
4      #40004c  64,0,76        0.270    0.129    320.0
5      #003a56  0,58,86        0.331    0.072    236.5
6      #004f03  0,79,3         0.370    0.124    142.9
7      #016c6e  1,108,110      0.482    0.082    196.6
8      #048000  4,128,0        0.521    0.177    142.3
9      #795b00  121,91,0       0.489    0.100    86.7
10     #960f00  150,15,0       0.430    0.168    30.9
11     #c10069  193,0,105      0.526    0.214    358.4
12     #ff21a4  255,33,164     0.665    0.263    351.9
13     #fd0106  253,1,6        0.624    0.256    28.9
14     #b9675b  185,103,91     0.604    0.108    29.1
15     #988d01  152,141,1      0.633    0.133    103.9
16     #009f87  0,159,135      0.629    0.117    176.9
17     #00a4eb  0,164,235      0.684    0.151    237.9
18     #b2a3ff  178,163,255    0.764    0.130    290.4
19     #abab9e  171,171,158    0.737    0.018    104.1
20     #00d4a9  0,212,169      0.774    0.151    171.5
21     #8de0ff  141,224,255    0.864    0.092    223.9
22     #ffc1ec  255,193,236    0.880    0.089    338.0
23     #ffffff  255,255,255    1.000    0.000    76.9
24     #ffd38a  255,211,138    0.890    0.103    79.8
25     #f8fe01  248,254,1      0.960    0.212    111.4
26     #92ffb7  146,255,183    0.916    0.142    153.7
27     #01f32b  1,243,43       0.835    0.275    143.5
28     #00bd08  0,189,8        0.691    0.234    142.7
29     #b8c601  184,198,1      0.789    0.178    114.6
30     #f08f09  240,143,9      0.737    0.165    63.8
31     #ff829c  255,130,156    0.753    0.154    8.2
32     #ff74fc  255,116,252    0.771    0.229    328.4
33     #dc00fc  220,0,252      0.649    0.310    321.0
34     #a100b8  161,0,184      0.514    0.245    321.3
35     #7300fe  115,0,254      0.515    0.292    289.9
36     #0300fe  3,0,254        0.451    0.312    264.3
37     #026dff  2,109,255      0.577    0.233    259.9
38     #9a67ff  154,103,255    0.642    0.216    295.1
39     #7673a8  118,115,168    0.580    0.080    286.2
40     #6b4169  107,65,105     0.439    0.083    328.4
41     #5b00a1  91,0,161       0.393    0.209    300.2
42     #004eac  0,78,172       0.444    0.164    258.0
43     #060093  6,0,147        0.302    0.207    265.4
44     #000046  0,0,70         0.178    0.123    264.3
