--- Iterations ---
Total Iterations: 732,377,742
Ext Iterations: 347,055,383
TSP Iterations: 385,322

--- Statistics ---
Minimum Distance: 0.13943
Std Dev of NN Distances: 0.00012

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    173.8
1      #021d00  2,29,0         0.201    0.066    140.8
2      #004400  0,68,0         0.334    0.113    142.5
3      #674800  103,72,0       0.424    0.088    79.7
4      #887300  136,115,0      0.559    0.115    96.6
5      #a7a200  167,162,0      0.694    0.149    107.2
6      #05b901  5,185,1        0.680    0.231    142.4
7      #01d99a  1,217,154      0.783    0.168    163.5
8      #02f629  2,246,41       0.845    0.279    143.3
9      #bfd401  191,212,1      0.826    0.190    116.9
10     #fefe00  254,254,0      0.965    0.211    109.9
11     #96ffb4  150,255,180    0.917    0.142    151.8
12     #4beaff  75,234,255     0.864    0.131    207.9
13     #01b9d2  1,185,210      0.722    0.125    211.6
14     #5593ff  85,147,255     0.674    0.173    260.6
15     #aab4ff  170,180,255    0.790    0.107    277.5
16     #b4bfa6  180,191,166    0.790    0.037    127.9
17     #909194  144,145,148    0.656    0.005    273.8
18     #0081ac  0,129,172      0.566    0.113    230.2
19     #019a6d  1,154,109      0.609    0.130    163.9
20     #007400  0,116,0        0.485    0.165    142.5
21     #006061  0,96,97        0.444    0.076    195.2
22     #0050aa  0,80,170       0.448    0.158    256.9
23     #0101ea  1,1,234        0.424    0.293    264.1
24     #0b61ff  11,97,255      0.555    0.246    262.0
25     #7100ff  113,0,255      0.514    0.293    289.0
26     #b600f8  182,0,248      0.591    0.296    311.9
27     #fe09ff  254,9,255      0.702    0.320    328.2
28     #ff01a2  255,1,162      0.657    0.272    352.2
29     #fe0032  254,0,50       0.630    0.255    23.8
30     #dc6e01  220,110,1      0.656    0.166    53.2
31     #ffa209  255,162,9      0.788    0.170    69.0
32     #ffdb8f  255,219,143    0.905    0.102    84.9
33     #ffffff  255,255,255    1.000    0.000    25.5
34     #ffc3e2  255,195,226    0.880    0.079    346.7
35     #ff8c93  255,140,147    0.766    0.140    16.7
36     #ff87f3  255,135,243    0.791    0.193    331.0
37     #b674ff  182,116,255    0.689    0.201    303.3
38     #c064a1  192,100,161    0.629    0.139    341.7
39     #7b5cc7  123,92,199     0.558    0.160    294.2
40     #7e6070  126,96,112     0.524    0.045    346.0
41     #5b3568  91,53,104      0.398    0.095    317.2
42     #3c0049  60,0,73        0.261    0.126    318.9
43     #00324b  0,50,75        0.302    0.066    237.1
44     #4a1900  74,25,0        0.287    0.082    44.8
45     #880024  136,0,36       0.396    0.159    18.0
46     #b23d00  178,61,0       0.521    0.162    40.6
47     #bd0066  189,0,102      0.519    0.211    359.0
48     #90009d  144,0,157      0.468    0.220    323.9
49     #5200af  82,0,175       0.395    0.221    292.2
50     #040092  4,0,146        0.299    0.205    264.9
51     #000048  0,0,72         0.182    0.126    264.3
52     #12000a  18,0,10        0.122    0.052    343.4
