--- Iterations ---
Total Iterations: 254,216,799
Ext Iterations: 113,750,407
TSP Iterations: 140,466

--- Statistics ---
Minimum Distance: 0.17502
Std Dev of NN Distances: 0.00011

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.014    193.6
1      #210003  33,0,3         0.157    0.063    21.0
2      #013000  1,48,0         0.270    0.091    142.3
3      #681e00  104,30,0       0.351    0.112    39.0
4      #4f0060  79,0,96        0.314    0.152    318.9
5      #004b6b  0,75,107       0.390    0.083    235.3
6      #216400  33,100,0       0.442    0.139    138.8
7      #01848d  1,132,141      0.559    0.095    203.4
8      #85516c  133,81,108     0.503    0.079    347.6
9      #d30010  211,0,16       0.545    0.222    27.8
10     #fc7201  252,114,1      0.708    0.192    48.1
11     #ffc08e  255,192,142    0.854    0.097    59.3
12     #ffffff  255,255,255    1.000    0.000    263.8
13     #63ffcd  99,255,205     0.904    0.150    168.5
14     #f3fe00  243,254,0      0.957    0.213    113.1
15     #02ff0f  2,255,15       0.867    0.293    142.6
16     #aac300  170,195,0      0.773    0.181    118.6
17     #00a300  0,163,0        0.620    0.211    142.5
18     #997600  153,118,0      0.585    0.120    87.9
19     #ab8da7  171,141,167    0.679    0.051    330.5
20     #01c1ad  1,193,173      0.728    0.130    182.1
21     #aacdff  170,205,255    0.840    0.080    257.6
22     #ff93fe  255,147,254    0.813    0.184    327.3
23     #ff0aff  255,10,255     0.703    0.321    328.4
24     #ff4794  255,71,148     0.683    0.226    359.9
25     #bb00ab  187,0,171      0.547    0.245    333.3
26     #a569ff  165,105,255    0.655    0.215    298.7
27     #0e9eff  14,158,255     0.681    0.178    247.3
28     #0a56ff  10,86,255      0.536    0.257    263.0
29     #6c00c4  108,0,196      0.448    0.241    298.4
30     #0300af  3,0,175        0.342    0.236    264.5
31     #01004f  1,0,79         0.194    0.134    264.7
