--- Iterations ---
Total Iterations: 29,158,037
Ext Iterations: 2,271,892
TSP Iterations: 26,886

--- Statistics ---
Minimum Distance: 0.25708
Std Dev of NN Distances: 0.00011

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.016    227.4
1      #00005d  0,0,93         0.217    0.150    264.3
2      #740045  116,0,69       0.366    0.151    353.5
3      #eb0166  235,1,102      0.602    0.241    7.6
4      #f99b3c  249,155,60     0.769    0.153    61.5
5      #01af25  1,175,37       0.654    0.211    144.1
6      #9fff01  159,255,1      0.904    0.250    131.7
7      #ffffff  255,255,255    1.000    0.000    311.5
8      #00ceff  0,206,255      0.789    0.147    223.3
9      #fe8eff  254,142,255    0.806    0.191    326.9
10     #af01f3  175,1,243      0.577    0.290    310.9
11     #1500fd  21,0,253       0.453    0.308    265.7
12     #4e749a  78,116,154     0.547    0.073    249.0
13     #014500  1,69,0         0.337    0.114    142.4
