--- Iterations ---
Total Iterations: 915,415,388
Ext Iterations: 437,911,959
TSP Iterations: 477,503

--- Statistics ---
Minimum Distance: 0.13386
Std Dev of NN Distances: 0.00012

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.007    105.9
1      #00001e  0,0,30         0.107    0.074    265.1
2      #23004d  35,0,77        0.224    0.123    294.3
3      #01008f  1,0,143        0.295    0.204    264.2
4      #4e008d  78,0,141       0.354    0.189    299.6
5      #8a0083  138,0,131      0.439    0.199    331.1
6      #61405e  97,64,94       0.421    0.065    330.1
7      #7e6b72  126,107,114    0.548    0.026    353.8
8      #b04b00  176,75,0       0.537    0.150    46.5
9      #897b00  137,123,0      0.577    0.121    101.8
10     #d67a01  214,122,1      0.668    0.154    61.4
11     #ff6e79  255,110,121    0.718    0.177    18.0
12     #ffada5  255,173,165    0.825    0.098    25.7
13     #f6ad01  246,173,1      0.797    0.166    77.9
14     #a2a901  162,169,1      0.705    0.157    113.0
15     #26cd01  38,205,1       0.739    0.246    141.6
16     #2afe01  42,254,1       0.867    0.290    141.8
17     #01eda1  1,237,161      0.836    0.186    161.1
18     #b9d901  185,217,1      0.832    0.197    119.9
19     #fcfe00  252,254,0      0.963    0.211    110.4
20     #ffde92  255,222,146    0.912    0.101    87.3
21     #ffffff  255,255,255    1.000    0.000    296.7
22     #72fffb  114,255,251    0.922    0.122    192.8
23     #30d3ff  48,211,255     0.805    0.139    221.8
24     #cad5ff  202,213,255    0.878    0.059    273.3
25     #ffa5ff  255,165,255    0.839    0.155    326.7
26     #aaa5e2  170,165,226    0.748    0.088    287.9
27     #9a9886  154,152,134    0.676    0.026    101.1
28     #acc9a2  172,201,162    0.803    0.061    137.7
29     #01bd8d  1,189,141      0.707    0.145    166.8
30     #0d9f00  13,159,0       0.609    0.206    142.2
31     #027300  2,115,0        0.482    0.164    142.4
32     #685200  104,82,0       0.448    0.091    90.0
33     #034a00  3,74,0         0.354    0.119    142.1
34     #00394b  0,57,75        0.321    0.062    227.1
35     #174697  23,70,151      0.414    0.142    260.4
36     #006263  0,98,99        0.450    0.077    195.8
37     #0075b6  0,117,182      0.542    0.134    244.0
38     #008e77  0,142,119      0.577    0.108    176.2
39     #00a5ce  0,165,206      0.672    0.126    223.4
40     #6184ff  97,132,255     0.649    0.186    268.8
41     #0358ff  3,88,255       0.538    0.257    262.6
42     #0101dc  1,1,220        0.405    0.280    264.2
43     #6300de  99,0,222       0.465    0.264    289.5
44     #7b53b2  123,83,178     0.530    0.147    301.0
45     #a024ff  160,36,255     0.580    0.284    303.3
46     #bc71ff  188,113,255    0.690    0.208    306.2
47     #bc6fa4  188,111,164    0.644    0.118    339.6
48     #fe63d2  254,99,210     0.732    0.222    340.6
49     #ec01ff  236,1,255      0.673    0.316    324.2
50     #c100b4  193,0,180      0.562    0.253    332.0
51     #f30085  243,0,133      0.626    0.254    358.9
52     #f40d00  244,13,0       0.610    0.247    29.6
53     #b90054  185,0,84       0.505    0.203    5.6
54     #870012  135,0,18       0.393    0.159    24.8
55     #57003f  87,0,63        0.306    0.131    343.6
56     #4a2600  74,38,0        0.309    0.072    60.1
57     #002001  0,32,1         0.211    0.070    143.2
58     #2c000a  44,0,10        0.188    0.075    12.2
