--- Iterations ---
Total Iterations: 44,720,422
Ext Iterations: 275,978
TSP Iterations: 44,444

--- Statistics ---
Minimum Distance: 0.22310
Std Dev of NN Distances: 0.00012

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.024    354.9
1      #041e00  4,30,0         0.206    0.066    139.6
2      #0f5d00  15,93,0        0.418    0.138    141.2
3      #0095a7  0,149,167      0.613    0.106    210.0
4      #10b800  16,184,0       0.679    0.229    142.2
5      #00e4db  0,228,219      0.829    0.143    189.7
6      #ffffff  255,255,255    1.000    0.000    297.8
7      #c0fc02  192,252,2      0.917    0.231    125.2
8      #ffad47  255,173,71     0.809    0.149    68.1
9      #e7a9fd  231,169,253    0.820    0.132    317.1
10     #fe11ff  254,17,255     0.703    0.319    328.1
11     #ff0066  255,0,102      0.639    0.255    10.4
12     #a96700  169,103,0      0.574    0.127    67.0
13     #750700  117,7,0        0.356    0.141    30.5
14     #770094  119,0,148      0.421    0.205    316.8
15     #8564ff  133,100,255    0.618    0.220    288.0
16     #0600f4  6,0,244        0.438    0.302    264.5
17     #030074  3,0,116        0.254    0.175    265.0
