--- Iterations ---
Total Iterations: 193,545,218
Ext Iterations: 78,181,707
TSP Iterations: 115,363

--- Statistics ---
Minimum Distance: 0.18132
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.027    342.5
1      #001301  0,19,1         0.163    0.053    144.2
2      #4e001a  78,0,26        0.270    0.108    10.0
3      #004149  0,65,73        0.345    0.059    207.9
4      #006c01  0,108,1        0.461    0.157    142.5
5      #977f00  151,127,0      0.600    0.123    95.5
6      #7a3f00  122,63,0       0.434    0.104    57.7
7      #d40011  212,0,17       0.546    0.223    27.7
8      #ff0199  255,1,153      0.653    0.268    354.6
9      #a60089  166,0,137      0.492    0.215    338.2
10     #5d5d93  93,93,147      0.503    0.085    282.7
11     #b87fa2  184,127,162    0.664    0.085    342.4
12     #fe7200  254,114,0      0.711    0.194    47.8
13     #cebe01  206,190,1      0.791    0.166    103.4
14     #01b80e  1,184,14       0.677    0.228    142.8
15     #00a2a0  0,162,160      0.644    0.110    193.0
16     #2986ff  41,134,255     0.632    0.200    257.3
17     #87bfff  135,191,255    0.791    0.109    252.3
18     #52f2c9  82,242,201     0.868    0.145    172.1
19     #17fe01  23,254,1       0.864    0.292    142.3
20     #fdfe01  253,254,1      0.965    0.211    110.0
21     #ffffff  255,255,255    1.000    0.000    355.4
22     #ffb4b6  255,180,182    0.841    0.088    17.2
23     #ff7fff  255,127,255    0.785    0.216    327.5
24     #d000fb  208,0,251      0.631    0.305    318.4
25     #7600fe  118,0,254      0.519    0.292    290.8
26     #0300d2  3,0,210        0.391    0.270    264.3
27     #530085  83,0,133       0.353    0.183    305.2
28     #01005b  1,0,91         0.213    0.147    264.7
