--- Iterations ---
Total Iterations: 699,098,184
Ext Iterations: 328,179,117
TSP Iterations: 370,919

--- Statistics ---
Minimum Distance: 0.14098
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    219.4
1      #150000  21,0,0         0.124    0.051    28.3
2      #042200  4,34,0         0.222    0.072    140.2
3      #034b00  3,75,0         0.358    0.121    142.1
4      #6d5300  109,83,0       0.457    0.093    87.7
5      #b85300  184,83,0       0.560    0.151    48.8
6      #e18300  225,131,0      0.696    0.159    62.4
7      #ff9f99  255,159,153    0.799    0.115    23.9
8      #fec6ff  254,198,255    0.894    0.097    325.9
9      #ffffff  255,255,255    1.000    0.000    243.8
10     #feff8b  254,255,139    0.975    0.139    109.3
11     #a8ff01  168,255,1      0.909    0.245    130.1
12     #01dd15  1,221,21       0.778    0.261    142.9
13     #01ab03  1,171,3        0.642    0.218    142.6
14     #009a82  0,154,130      0.612    0.114    176.3
15     #84747b  132,116,123    0.575    0.023    349.6
16     #006b6a  0,107,106      0.476    0.081    194.3
17     #007c01  0,124,1        0.507    0.172    142.5
18     #8d8500  141,133,0      0.605    0.129    105.7
19     #a7b600  167,182,0      0.739    0.168    115.6
20     #ffc50e  255,197,14     0.852    0.173    86.9
21     #c9d5b7  201,213,183    0.857    0.043    125.0
22     #a3a697  163,166,151    0.717    0.021    115.8
23     #01cc9d  1,204,157      0.750    0.150    168.7
24     #01ffb9  1,255,185      0.886    0.187    164.5
25     #2ce4ff  44,228,255     0.845    0.140    210.6
26     #00b1e0  0,177,224      0.708    0.135    225.5
27     #007fc2  0,127,194      0.573    0.138    242.7
28     #004da8  0,77,168       0.438    0.161    257.8
29     #040094  4,0,148        0.303    0.208    264.9
30     #003252  0,50,82        0.307    0.075    243.4
31     #5f4160  95,65,96       0.421    0.063    324.7
32     #900080  144,0,128      0.448    0.200    334.2
33     #50007a  80,0,122       0.339    0.173    307.5
34     #6100cd  97,0,205       0.444    0.248    292.0
35     #0200f1  2,0,241        0.433    0.300    264.2
36     #4b57ff  75,87,255      0.558    0.244    272.2
37     #8655b8  134,85,184     0.549    0.154    304.7
38     #9e07ff  158,7,255      0.567    0.295    303.3
39     #c800bb  200,0,187      0.576    0.260    331.9
40     #ff1dfd  255,29,253     0.705    0.314    328.7
41     #ff88fd  255,136,253    0.797    0.200    327.8
42     #adabff  173,171,255    0.775    0.119    284.7
43     #b76eff  183,110,255    0.682    0.211    304.8
44     #cd78aa  205,120,170    0.680    0.121    344.7
45     #ff2193  255,33,147     0.659    0.255    357.5
46     #fe0100  254,1,0        0.627    0.257    29.3
47     #c50057  197,0,87       0.529    0.212    6.7
48     #910009  145,0,9        0.413    0.169    27.6
49     #502700  80,39,0        0.323    0.078    57.7
50     #3c002e  60,0,46        0.241    0.105    340.2
51     #060043  6,0,67         0.178    0.116    270.6
