--- Iterations ---
Total Iterations: 854,613,212
Ext Iterations: 408,934,200
TSP Iterations: 445,679

--- Statistics ---
Minimum Distance: 0.13629
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.014    198.1
1      #140001  20,0,1         0.121    0.048    24.3
2      #002001  0,32,1         0.211    0.071    143.1
3      #004600  0,70,0         0.340    0.116    142.5
4      #007003  0,112,3        0.472    0.160    142.7
5      #847900  132,121,0      0.568    0.119    102.8
6      #008b77  0,139,119      0.570    0.105    177.6
7      #0d9c00  13,156,0       0.603    0.203    142.2
8      #09cd01  9,205,1        0.736    0.250    142.4
9      #1bfe00  27,254,0       0.866    0.292    142.2
10     #b9d900  185,217,0      0.833    0.197    119.8
11     #feff01  254,255,1      0.967    0.211    109.9
12     #ffdd91  255,221,145    0.910    0.102    86.6
13     #fda801  253,168,1      0.795    0.170    72.6
14     #d37800  211,120,0      0.660    0.153    61.4
15     #a0a800  160,168,0      0.702    0.157    113.2
16     #00bb8c  0,187,140      0.703    0.144    166.9
17     #01eca2  1,236,162      0.834    0.184    161.5
18     #abc7a2  171,199,162    0.799    0.059    137.9
19     #969687  150,150,135    0.669    0.021    107.1
20     #7b6874  123,104,116    0.540    0.029    340.1
21     #ae4800  174,72,0       0.529    0.149    45.8
22     #f30005  243,0,5        0.605    0.248    28.9
23     #ff6b7b  255,107,123    0.715    0.180    16.5
24     #bf64a1  191,100,161    0.628    0.138    341.0
25     #c400bc  196,0,188      0.570    0.259    330.5
26     #ff059d  255,5,157      0.655    0.269    353.7
27     #ff01fd  255,1,253      0.701    0.321    328.7
28     #c870ff  200,112,255    0.703    0.213    310.5
29     #aba3e4  171,163,228    0.746    0.093    289.6
30     #ff99ff  255,153,255    0.822    0.175    327.0
31     #ffacaa  255,172,170    0.824    0.098    20.8
32     #ced3ff  206,211,255    0.878    0.061    279.3
33     #ffffff  255,255,255    1.000    0.000    176.1
34     #7bfffb  123,255,251    0.925    0.117    192.5
35     #26d4ff  38,212,255     0.806    0.142    220.6
36     #01a4ce  1,164,206      0.668    0.126    224.8
37     #6d82ff  109,130,255    0.653    0.185    272.8
38     #454cff  69,76,255      0.537    0.257    272.1
39     #0400de  4,0,222        0.408    0.282    264.4
40     #204197  32,65,151      0.406    0.145    264.6
41     #00344b  0,52,75        0.307    0.065    235.1
42     #030084  3,0,132        0.278    0.191    264.9
43     #4c0077  76,0,119       0.331    0.170    306.5
44     #613b5a  97,59,90       0.408    0.070    333.6
45     #8a0000  138,0,0        0.397    0.163    29.2
46     #b9005b  185,0,91       0.507    0.204    2.7
47     #8a008a  138,0,138      0.445    0.204    328.2
48     #6000c6  96,0,198       0.437    0.242    293.3
49     #9701fe  151,1,254      0.557    0.295    301.6
50     #7e55bd  126,85,189     0.542    0.158    299.6
51     #0074b7  0,116,183      0.539    0.135    244.8
52     #015f63  1,95,99        0.441    0.075    199.9
53     #674d00  103,77,0       0.436    0.089    86.8
54     #4b2400  75,36,0        0.307    0.074    57.0
55     #38002f  56,0,47        0.232    0.103    336.1
56     #010036  1,0,54         0.151    0.103    265.1
