--- Iterations ---
Total Iterations: 231,696,837
Ext Iterations: 99,872,420
TSP Iterations: 131,824

--- Statistics ---
Minimum Distance: 0.17749
Std Dev of NN Distances: 0.00012

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.013    242.5
1      #00005a  0,0,90         0.212    0.147    264.3
2      #52005a  82,0,90        0.314    0.147    323.8
3      #6c2d00  108,45,0       0.380    0.103    47.9
4      #864f7e  134,79,126     0.507    0.099    331.9
5      #00838d  0,131,141      0.556    0.095    204.6
6      #126400  18,100,0       0.438    0.144    141.0
7      #997101  153,113,1      0.574    0.118    83.9
8      #089e00  8,158,0        0.606    0.205    142.3
9      #00c0ab  0,192,171      0.725    0.130    181.5
10     #aaceff  170,206,255    0.841    0.080    256.4
11     #fffffc  255,255,252    0.999    0.003    101.8
12     #4effd1  78,255,209     0.900    0.156    171.5
13     #01fe05  1,254,5        0.864    0.293    142.5
14     #f4fc01  244,252,1      0.953    0.211    112.2
15     #b0c301  176,195,1      0.775    0.178    116.5
16     #ffb48c  255,180,140    0.831    0.103    48.7
17     #ff600c  255,96,12      0.689    0.208    41.1
18     #c30200  195,2,0        0.514    0.210    29.3
19     #fa0185  250,1,133      0.639    0.259    0.1
20     #fe01fe  254,1,254      0.699    0.321    328.3
21     #ff92fc  255,146,252    0.811    0.183    328.0
22     #b38ba6  179,139,166    0.682    0.062    338.6
23     #369eff  54,158,255     0.687    0.171    250.6
24     #a15eff  161,94,255     0.637    0.228    298.8
25     #7100c9  113,0,201      0.459    0.246    299.4
26     #0458ff  4,88,255       0.538    0.257    262.6
27     #0100bb  1,0,187        0.359    0.248    264.2
28     #00496c  0,73,108       0.387    0.086    238.0
29     #002f00  0,47,0         0.266    0.090    142.4
30     #22000a  34,0,10        0.162    0.065    4.1
