--- Iterations ---
Total Iterations: 39,746,400
Ext Iterations: 103,053
TSP Iterations: 39,643

--- Statistics ---
Minimum Distance: 0.23533
Std Dev of NN Distances: 0.00023

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    219.4
1      #370000  55,0,0         0.212    0.087    28.6
2      #034e00  3,78,0         0.367    0.124    142.2
3      #7d8060  125,128,96     0.588    0.046    112.2
4      #fea100  254,161,0      0.785    0.171    69.3
5      #d0ff07  208,255,7      0.934    0.226    122.1
6      #01c304  1,195,4        0.708    0.240    142.6
7      #00d9ec  0,217,236      0.810    0.138    205.7
8      #ffffff  255,255,255    1.000    0.000    9.3
9      #ff9ef4  255,158,244    0.824    0.157    331.1
10     #ff2766  255,39,102     0.649    0.243    12.3
11     #9a0002  154,0,2        0.431    0.177    28.9
12     #78009c  120,0,156      0.429    0.211    314.7
13     #d701fe  215,1,254      0.643    0.309    319.3
14     #6284ff  98,132,255     0.651    0.185    269.0
15     #0c00fd  12,0,253       0.451    0.310    264.9
16     #060076  6,0,118        0.258    0.175    266.2
