--- Iterations ---
Total Iterations: 377,417,597
Ext Iterations: 168,775,622
TSP Iterations: 208,641

--- Statistics ---
Minimum Distance: 0.16011
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.021    158.8
1      #01004d  1,0,77         0.190    0.131    264.5
2      #0200a2  2,0,162        0.322    0.222    264.4
3      #003f5d  0,63,93        0.348    0.076    237.3
4      #47004c  71,0,76        0.283    0.132    324.9
5      #612100  97,33,0        0.341    0.101    43.2
6      #ae000f  174,0,15       0.473    0.193    27.2
7      #75603b  117,96,59      0.502    0.060    81.3
8      #91649f  145,100,159    0.572    0.102    318.6
9      #af00d5  175,0,213      0.555    0.269    317.8
10     #ff00e3  255,0,227      0.686    0.306    334.6
11     #c279ff  194,121,255    0.709    0.197    307.3
12     #ff6e9f  255,110,159    0.728    0.182    1.4
13     #ffacff  255,172,255    0.850    0.143    326.7
14     #a1d9ff  161,217,255    0.860    0.078    238.3
15     #01cab0  1,202,176      0.751    0.137    179.4
16     #70ffc0  112,255,192    0.905    0.153    161.8
17     #24fb01  36,251,1       0.859    0.289    142.0
18     #0cc201  12,194,1       0.706    0.239    142.3
19     #c3cc01  195,204,1      0.811    0.180    112.8
20     #ffff64  255,255,100    0.972    0.173    109.2
21     #ffffff  255,255,255    1.000    0.000    276.8
22     #ffc49e  255,196,158    0.864    0.085    54.2
23     #fe8301  254,131,1      0.734    0.183    54.4
24     #ff0200  255,2,0        0.628    0.257    29.3
25     #d60081  214,0,129      0.573    0.236    354.0
26     #8a0070  138,0,112      0.429    0.187    339.3
27     #6100bd  97,0,189       0.428    0.234    295.7
28     #1708ff  23,8,255       0.458    0.309    265.8
29     #6e59ff  110,89,255     0.584    0.235    282.2
30     #0061b0  0,97,176       0.490    0.148    252.2
31     #239193  35,145,147     0.599    0.094    197.0
32     #38a7ff  56,167,255     0.707    0.162    247.2
33     #ac9eab  172,158,171    0.715    0.023    328.2
34     #a09201  160,146,1      0.651    0.136    102.4
35     #048700  4,135,0        0.541    0.183    142.4
36     #025500  2,85,0         0.389    0.132    142.3
37     #002700  0,39,0         0.237    0.081    142.4
38     #1a0006  26,0,6         0.141    0.057    5.5
