--- Iterations ---
Total Iterations: 11,132,146
Ext Iterations: 21,035
TSP Iterations: 11,111

--- Statistics ---
Minimum Distance: 0.33392
Std Dev of NN Distances: 0.00005

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.012    143.3
1      #5b002e  91,0,46        0.306    0.124    358.5
2      #047700  4,119,0        0.492    0.167    142.3
3      #01e905  1,233,5        0.810    0.275    142.6
4      #ffffff  255,255,255    1.000    0.000    155.2
5      #fa7100  250,113,0      0.704    0.191    48.1
6      #f001f0  240,1,240      0.671    0.308    328.4
7      #00acff  0,172,255      0.711    0.167    241.3
8      #0400e0  4,0,224        0.410    0.283    264.4
