--- Iterations ---
Total Iterations: 255,716,110
Ext Iterations: 106,333,394
TSP Iterations: 149,382

--- Statistics ---
Minimum Distance: 0.17195
Std Dev of NN Distances: 0.00014

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.022    10.2
1      #430014  67,0,20        0.245    0.098    12.1
2      #013000  1,48,0         0.267    0.090    142.3
3      #054b68  5,75,104       0.390    0.078    232.9
4      #086400  8,100,0        0.437    0.147    142.0
5      #703900  112,57,0       0.407    0.098    57.0
6      #7c005e  124,0,94       0.394    0.169    342.4
7      #cc0031  204,0,49       0.534    0.215    20.9
8      #c200a3  194,0,163      0.553    0.243    337.6
9      #ff14fc  255,20,252     0.703    0.316    329.0
10     #ff5598  255,85,152     0.697    0.212    0.1
11     #ff9dfc  255,157,252    0.826    0.166    327.9
12     #a1d1ff  161,209,255    0.842    0.082    248.2
13     #ffbf97  255,191,151    0.853    0.091    52.6
14     #ffffff  255,255,255    1.000    0.000    116.7
15     #76ffc6  118,255,198    0.908    0.145    163.8
16     #01fe02  1,254,2        0.864    0.294    142.5
17     #fdfb01  253,251,1      0.958    0.208    109.4
18     #b6c701  182,199,1      0.790    0.180    115.7
19     #01c6a7  1,198,167      0.737    0.138    176.1
20     #ad96a2  173,150,162    0.696    0.032    344.5
21     #f57701  245,119,1      0.705    0.183    51.3
22     #967400  150,116,0      0.576    0.118    88.0
23     #00a104  0,161,4        0.615    0.208    142.6
24     #018a8a  1,138,138      0.572    0.098    195.0
25     #745aa2  116,90,162     0.525    0.113    299.2
26     #8900f8  137,0,248      0.534    0.288    298.4
27     #ac76ff  172,118,255    0.681    0.197    299.2
28     #01a4fd  1,164,253      0.692    0.171    244.1
29     #095fff  9,95,255       0.552    0.248    262.0
30     #0500ca  5,0,202        0.380    0.262    264.6
31     #33006f  51,0,111       0.287    0.159    293.2
32     #00002f  0,0,47         0.138    0.095    264.6
