--- Iterations ---
Total Iterations: 487,257,811
Ext Iterations: 221,688,539
TSP Iterations: 265,569

--- Statistics ---
Minimum Distance: 0.15188
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.019    163.8
1      #002100  0,33,0         0.214    0.073    142.4
2      #4b0600  75,6,0         0.264    0.101    31.8
3      #460058  70,0,88        0.292    0.142    317.6
4      #003a57  0,58,87        0.332    0.074    238.7
5      #024b00  2,75,0         0.360    0.122    142.2
6      #006d69  0,109,105      0.483    0.083    190.0
7      #7e5700  126,87,0       0.487    0.101    78.9
8      #8c0001  140,0,1        0.402    0.165    29.1
9      #69426b  105,66,107     0.441    0.081    325.3
10     #8668b8  134,104,184    0.580    0.124    299.9
11     #b76d66  183,109,102    0.615    0.095    26.2
12     #ff2d06  255,45,6       0.643    0.244    31.5
13     #c50056  197,0,86       0.529    0.212    7.0
14     #fe00a2  254,0,162      0.654    0.271    351.9
15     #ff69fe  255,105,254    0.759    0.247    327.9
16     #ac92ff  172,146,255    0.729    0.155    293.0
17     #fdb2ff  253,178,255    0.858    0.131    325.7
18     #ff7d9e  255,125,158    0.747    0.161    5.9
19     #f79001  247,144,1      0.747    0.171    62.4
20     #ffc7a0  255,199,160    0.870    0.082    56.0
21     #ffffff  255,255,255    1.000    0.000    282.2
22     #a2dcff  162,220,255    0.868    0.076    234.9
23     #02d6b4  2,214,180      0.781    0.146    175.9
24     #9effbb  158,255,187    0.923    0.131    152.8
25     #feff00  254,255,0      0.967    0.211    109.9
26     #51fd2b  81,253,43      0.873    0.272    140.9
27     #b4cc3c  180,204,60     0.802    0.166    118.5
28     #01be07  1,190,7        0.695    0.235    142.6
29     #9b9400  155,148,0      0.652    0.139    106.1
30     #0e8801  14,136,1       0.545    0.183    142.0
31     #019f92  1,159,146      0.632    0.111    184.8
32     #aaa8aa  170,168,170    0.734    0.003    316.9
33     #00b8fc  0,184,252      0.738    0.155    234.3
34     #057fff  5,127,255      0.613    0.212    256.6
35     #0055b1  0,85,177       0.464    0.163    256.7
36     #1202ff  18,2,255       0.455    0.311    265.3
37     #7a31ff  122,49,255     0.547    0.273    290.3
38     #cb13ff  203,19,255     0.629    0.302    316.0
39     #a400a5  164,0,165      0.504    0.232    327.8
40     #5d00ae  93,0,174       0.408    0.220    297.7
41     #0100a5  1,0,165        0.326    0.225    264.3
42     #010053  1,0,83         0.201    0.138    265.0
43     #15000e  21,0,14        0.132    0.057    340.7
