--- Iterations ---
Total Iterations: 773,424,900
Ext Iterations: 358,472,911
TSP Iterations: 414,951

--- Statistics ---
Minimum Distance: 0.13821
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.018    222.3
1      #140001  20,0,1         0.122    0.049    19.7
2      #002000  0,32,0         0.211    0.071    142.6
3      #004600  0,70,0         0.342    0.116    142.5
4      #017000  1,112,0        0.474    0.161    142.4
5      #684d00  104,77,0       0.439    0.090    85.5
6      #613a5a  97,58,90       0.408    0.072    333.1
7      #8d0001  141,0,1        0.403    0.165    29.1
8      #b34600  179,70,0       0.535    0.156    43.8
9      #fd2f01  253,47,1       0.639    0.241    32.2
10     #ff1188  255,17,136     0.650    0.259    0.4
11     #c46da0  196,109,160    0.648    0.127    345.0
12     #cd7e49  205,126,73     0.667    0.119    53.2
13     #857900  133,121,0      0.570    0.120    102.6
14     #7e6771  126,103,113    0.540    0.032    350.2
15     #8899aa  136,153,170    0.676    0.032    247.7
16     #b5c5bb  181,197,187    0.809    0.022    156.9
17     #82f8ff  130,248,255    0.913    0.107    200.6
18     #ffffff  255,255,255    1.000    0.000    313.6
19     #ffc5f6  255,197,246    0.890    0.091    331.7
20     #ff9899  255,152,153    0.786    0.124    19.2
21     #f8a601  248,166,1      0.787    0.167    73.7
22     #ffdc90  255,220,144    0.907    0.102    85.6
23     #fdff06  253,255,6      0.966    0.211    110.4
24     #bbd901  187,217,1      0.832    0.196    119.3
25     #07ce0e  7,206,14       0.737    0.248    142.7
26     #28ff04  40,255,4       0.869    0.291    141.9
27     #02efa7  2,239,167      0.841    0.183    162.5
28     #02bd95  2,189,149      0.711    0.140    170.1
29     #9ea817  158,168,23     0.702    0.152    114.0
30     #0f9e00  15,158,0       0.606    0.204    142.1
31     #018d7b  1,141,123      0.577    0.105    179.2
32     #006065  0,96,101       0.446    0.076    200.7
33     #0075bb  0,117,187      0.544    0.139    245.8
34     #4a95ff  74,149,255     0.674    0.174    257.4
35     #24cbff  36,203,255     0.787    0.144    225.6
36     #b3aaff  179,170,255    0.777    0.120    288.0
37     #ff83ec  255,131,236    0.783    0.193    333.3
38     #fe29ff  254,41,255     0.711    0.309    328.1
39     #cc00bc  204,0,188      0.583    0.262    332.8
40     #be0162  190,1,98       0.519    0.210    1.0
41     #8b008c  139,0,140      0.447    0.206    328.1
42     #8655bc  134,85,188     0.551    0.158    303.4
43     #b56eff  181,110,255    0.680    0.210    303.9
44     #a303ff  163,3,255      0.572    0.297    304.9
45     #6601cd  102,1,205      0.450    0.248    294.2
46     #4a54ff  74,84,255      0.553    0.247    272.5
47     #0300ee  3,0,238        0.429    0.297    264.3
48     #00439f  0,67,159       0.408    0.161    259.4
49     #4c007e  76,0,126       0.336    0.176    303.7
50     #390032  57,0,50        0.238    0.106    334.5
51     #4b2300  75,35,0        0.306    0.075    56.1
52     #00354b  0,53,75        0.309    0.064    233.7
53     #010080  1,0,128        0.272    0.188    264.3
54     #01003a  1,0,58         0.159    0.108    265.9
