--- Iterations ---
Total Iterations: 60,563,924
Ext Iterations: 5,694,240
TSP Iterations: 54,869

--- Statistics ---
Minimum Distance: 0.21610
Std Dev of NN Distances: 0.00026

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.012    248.6
1      #2f0017  47,0,23        0.199    0.081    356.1
2      #003f00  0,63,0         0.318    0.108    142.4
3      #893300  137,51,0       0.437    0.128    43.5
4      #740083  116,0,131      0.403    0.191    322.0
5      #006190  0,97,144       0.469    0.107    239.8
6      #179aff  23,154,255     0.673    0.181    249.4
7      #01e6e8  1,230,232      0.837    0.143    196.3
8      #ffffff  255,255,255    1.000    0.000    88.6
9      #e7acff  231,172,255    0.826    0.129    315.9
10     #ffab2d  255,171,45     0.805    0.161    71.2
11     #d6ff02  214,255,2      0.937    0.224    120.8
12     #01ce24  1,206,36       0.738    0.242    143.6
13     #00840c  0,132,12       0.532    0.177    143.0
14     #a0827b  160,130,123    0.634    0.038    33.8
15     #fd0900  253,9,0        0.626    0.255    29.5
16     #ff10c0  255,16,192     0.672    0.283    343.5
17     #9d33ff  157,51,255     0.586    0.274    301.5
18     #1f00fd  31,0,253       0.455    0.306    267.1
19     #080080  8,0,128        0.275    0.186    266.3
