--- Iterations ---
Total Iterations: 318,947,561
Ext Iterations: 141,169,784
TSP Iterations: 177,777

--- Statistics ---
Minimum Distance: 0.16642
Std Dev of NN Distances: 0.00009

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    225.2
1      #1e0000  30,0,0         0.148    0.060    29.5
2      #002f00  0,47,0         0.263    0.089    142.4
3      #005f02  0,95,2         0.421    0.142    142.7
4      #254a6c  37,74,108      0.398    0.072    248.8
5      #470061  71,0,97        0.301    0.149    313.6
6      #8f0058  143,0,88       0.426    0.176    352.3
7      #5c0a00  92,10,0        0.305    0.115    32.1
8      #854700  133,71,0       0.464    0.110    59.0
9      #8d628e  141,98,142     0.556    0.084    326.1
10     #006fd0  0,111,208      0.544    0.171    253.7
11     #01aafb  1,170,251      0.706    0.163    240.5
12     #ac7fff  172,127,255    0.696    0.183    297.5
13     #b19ba6  177,155,166    0.712    0.029    346.6
14     #00c9a9  0,201,169      0.747    0.140    175.8
15     #7cffc0  124,255,192    0.909    0.147    160.5
16     #0afa01  10,250,1       0.854    0.290    142.4
17     #fdf701  253,247,1      0.949    0.205    108.0
18     #b5c600  181,198,0      0.786    0.179    115.8
19     #00aa01  0,170,1        0.639    0.217    142.5
20     #0d8b80  13,139,128     0.573    0.099    184.8
21     #9e8200  158,130,0      0.615    0.126    93.1
22     #fe7c00  254,124,0      0.725    0.187    51.7
23     #ffc297  255,194,151    0.860    0.090    56.4
24     #ffffff  255,255,255    1.000    0.000    170.8
25     #a1d6ff  161,214,255    0.853    0.079    242.5
26     #ffa5ff  255,165,255    0.840    0.154    327.0
27     #ff639d  255,99,157     0.713    0.196    0.4
28     #d72235  215,34,53      0.568    0.212    23.0
29     #cd01a1  205,1,161      0.572    0.247    341.2
30     #ff35ff  255,53,255     0.717    0.301    328.3
31     #a901ff  169,1,255      0.581    0.298    306.9
32     #6400be  100,0,190      0.434    0.236    296.6
33     #0c0dff  12,13,255      0.458    0.309    264.9
34     #02009e  2,0,158        0.317    0.219    264.4
35     #000045  0,0,69         0.176    0.122    264.1
