--- Iterations ---
Total Iterations: 165,614,611
Ext Iterations: 65,614,611
TSP Iterations: 100,000

--- Statistics ---
Minimum Distance: 0.18795
Std Dev of NN Distances: 0.00009

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.001    6.5
1      #003002  0,48,2         0.267    0.089    143.1
2      #6e3f00  110,63,0       0.416    0.094    64.4
3      #005a7f  0,90,127       0.442    0.093    234.6
4      #007709  0,119,9        0.494    0.165    143.0
5      #009d9e  0,157,158      0.630    0.107    195.6
6      #1cb501  28,181,1       0.672    0.225    141.8
7      #01fc52  1,252,82       0.861    0.265    145.7
8      #fffe02  255,254,2      0.966    0.210    109.6
9      #b8c77a  184,199,122    0.801    0.103    117.9
10     #ffe8f9  255,232,249    0.955    0.033    334.4
11     #11fffa  17,255,250     0.904    0.154    192.2
12     #8cbbff  140,187,255    0.786    0.109    257.4
13     #fc8aff  252,138,255    0.796    0.197    326.2
14     #ff8576  255,133,118    0.750    0.151    28.4
15     #a78100  167,129,0      0.622    0.127    88.1
16     #cd2200  205,34,0       0.546    0.208    31.9
17     #ff0094  255,0,148      0.652    0.266    356.2
18     #d507ff  213,7,255      0.642    0.308    318.8
19     #7b00d4  123,0,212      0.483    0.256    300.9
20     #0400fc  4,0,252        0.448    0.310    264.3
21     #4976ff  73,118,255     0.610    0.210    266.4
22     #a26a9e  162,106,158    0.603    0.100    329.8
23     #910065  145,0,101      0.436    0.184    346.6
24     #490026  73,0,38        0.265    0.108    357.2
25     #340089  52,0,137       0.318    0.184    286.3
26     #010038  1,0,56         0.155    0.106    265.2
