--- Iterations ---
Total Iterations: 363,727,439
Ext Iterations: 165,647,878
TSP Iterations: 198,079

--- Statistics ---
Minimum Distance: 0.16152
Std Dev of NN Distances: 0.00011

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.014    194.0
1      #00004e  0,0,78         0.192    0.133    264.2
2      #480057  72,0,87        0.294    0.142    319.1
3      #660c00  102,12,0       0.329    0.125    32.0
4      #b2000e  178,0,14       0.479    0.196    27.5
5      #8e0074  142,0,116      0.437    0.191    338.8
6      #dd018e  221,1,142      0.590    0.245    351.5
7      #ff0817  255,8,23       0.630    0.255    27.9
8      #ff8400  255,132,0      0.737    0.183    54.6
9      #a67909  166,121,9      0.604    0.122    81.9
10     #6b5345  107,83,69      0.464    0.039    53.0
11     #0c6f00  12,111,0       0.471    0.158    141.8
12     #368f82  54,143,130     0.593    0.087    181.7
13     #01a700  1,167,0        0.632    0.215    142.5
14     #00c8a3  0,200,163      0.744    0.143    173.0
15     #b6b501  182,181,1      0.750    0.163    109.7
16     #01e212  1,226,18       0.790    0.266    142.8
17     #76ffb2  118,255,178    0.904    0.162    156.4
18     #f9ff02  249,255,2      0.963    0.212    111.5
19     #ffca8b  255,202,139    0.873    0.100    71.1
20     #ffffff  255,255,255    1.000    0.000    329.9
21     #ffb9fc  255,185,252    0.871    0.117    328.0
22     #8eddff  142,221,255    0.858    0.091    227.1
23     #00aef9  0,174,249      0.713    0.159    238.3
24     #b88eff  184,142,255    0.732    0.163    299.3
25     #7060ff  112,96,255     0.595    0.227    281.6
26     #0065af  0,101,175      0.500    0.140    249.6
27     #966aa1  150,106,161    0.589    0.097    319.3
28     #b3a29f  179,162,159    0.725    0.021    28.7
29     #ff72a9  255,114,169    0.736    0.179    358.1
30     #ff44ff  255,68,255     0.726    0.290    328.1
31     #b600e3  182,0,227      0.575    0.281    316.4
32     #6400c1  100,0,193      0.436    0.238    295.9
33     #0324ff  3,36,255       0.471    0.300    264.4
34     #0200a5  2,0,165        0.327    0.226    264.4
35     #00405f  0,64,95        0.352    0.078    238.0
36     #012800  1,40,0         0.241    0.081    142.0
37     #1c0007  28,0,7         0.145    0.058    4.7
