--- Iterations ---
Total Iterations: 1,015,903,507
Ext Iterations: 488,605,839
TSP Iterations: 527,297

--- Statistics ---
Minimum Distance: 0.13053
Std Dev of NN Distances: 0.00012

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.027    340.5
1      #010700  1,7,0          0.115    0.036    139.5
2      #002817  0,40,23        0.244    0.054    160.8
3      #004a04  0,74,4         0.355    0.118    143.1
4      #006261  0,98,97        0.449    0.077    193.2
5      #047300  4,115,0        0.481    0.163    142.3
6      #008e78  0,142,120      0.577    0.107    176.7
7      #017fbe  1,127,190      0.571    0.133    241.2
8      #7b6d7b  123,109,123    0.552    0.028    324.6
9      #bd6aaa  189,106,170    0.639    0.132    336.4
10     #ff6882  255,104,130    0.712    0.185    12.4
11     #ff76e2  255,118,226    0.761    0.207    336.3
12     #ffb5ff  255,181,255    0.865    0.128    326.8
13     #b4daff  180,218,255    0.873    0.066    248.3
14     #ffffff  255,255,255    1.000    0.000    64.3
15     #ffceb4  255,206,180    0.887    0.066    49.5
16     #ffba11  255,186,17     0.831    0.169    81.1
17     #ff8101  255,129,1      0.733    0.185    53.3
18     #ba8060  186,128,96     0.650    0.085    49.4
19     #7e9eae  126,158,174    0.681    0.043    228.4
20     #1ca4ff  28,164,255     0.696    0.170    245.7
21     #6f72ff  111,114,255    0.624    0.205    277.8
22     #0d4eff  13,78,255      0.523    0.266    263.8
23     #0051a7  0,81,167       0.447    0.154    256.3
24     #0300cf  3,0,207        0.387    0.267    264.3
25     #030082  3,0,130        0.275    0.189    264.9
26     #003b5f  0,59,95        0.339    0.084    244.3
27     #5f436e  95,67,110      0.431    0.077    314.0
28     #660041  102,0,65       0.337    0.140    350.2
29     #930009  147,0,9        0.417    0.170    27.6
30     #b64800  182,72,0       0.542    0.158    44.0
31     #f8000f  248,0,15       0.615    0.252    28.3
32     #c00057  192,0,87       0.519    0.208    5.7
33     #90007f  144,0,127      0.447    0.199    334.6
34     #53008f  83,0,143       0.364    0.192    301.5
35     #6200dd  98,0,221       0.463    0.263    289.5
36     #814db6  129,77,182     0.529    0.163    304.0
37     #a10cfd  161,12,253     0.570    0.293    304.4
38     #c101b8  193,1,184      0.564    0.256    330.9
39     #fe00a7  254,0,167      0.658    0.274    350.4
40     #fe07ff  254,7,255      0.700    0.321    328.1
41     #c166ff  193,102,255    0.681    0.225    309.1
42     #ada0ff  173,160,255    0.754    0.134    288.8
43     #d8a2ae  216,162,174    0.765    0.067    3.9
44     #abc794  171,199,148    0.795    0.075    131.7
45     #9da801  157,168,1      0.698    0.157    114.3
46     #06cd00  6,205,0        0.736    0.250    142.4
47     #01ff14  1,255,20       0.867    0.292    142.7
48     #b8dd01  184,221,1      0.841    0.202    121.2
49     #fefe02  254,254,2      0.966    0.210    109.7
50     #bffab0  191,250,176    0.926    0.114    139.4
51     #01eb9c  1,235,156      0.830    0.187    160.0
52     #01ffff  1,255,255      0.905    0.154    194.9
53     #00cee6  0,206,230      0.781    0.135    209.4
54     #02bb8a  2,187,138      0.702    0.145    166.0
55     #129f00  18,159,0       0.610    0.205    142.0
56     #817b00  129,123,0      0.570    0.122    106.3
57     #6e4e00  110,78,0       0.447    0.092    81.6
58     #502700  80,39,0        0.323    0.078    57.0
59     #33000a  51,0,10        0.204    0.081    14.8
60     #33004f  51,0,79        0.250    0.128    307.7
61     #000034  0,0,52         0.148    0.102    264.9
