--- Iterations ---
Total Iterations: 58,901,615
Ext Iterations: 9,381,725
TSP Iterations: 49,519

--- Statistics ---
Minimum Distance: 0.21934
Std Dev of NN Distances: 0.00012

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.025    350.6
1      #040072  4,0,114        0.252    0.172    265.6
2      #005b9c  0,91,156       0.463    0.128    249.1
3      #005b03  0,91,3         0.410    0.138    142.8
4      #009d7d  0,157,125      0.621    0.121    171.2
5      #02e2ec  2,226,236      0.829    0.141    200.8
6      #04da00  4,218,0        0.769    0.261    142.4
7      #eefd01  238,253,1      0.949    0.213    114.1
8      #ffffff  255,255,255    1.000    0.000    266.6
9      #fca6fa  252,166,250    0.836    0.146    327.2
10     #6c92ff  108,146,255    0.682    0.166    267.5
11     #7405ff  116,5,255      0.519    0.292    290.0
12     #e605ff  230,5,255      0.665    0.313    322.8
13     #a10087  161,0,135      0.483    0.212    337.9
14     #ff437d  255,67,125     0.673    0.225    7.5
15     #e7a24a  231,162,74     0.763    0.131    69.6
16     #a45a00  164,90,0       0.543    0.128    59.7
17     #6d0001  109,0,1        0.335    0.137    28.8
18     #001d00  0,29,0         0.200    0.068    142.4
