--- Iterations ---
Total Iterations: 767,692,695
Ext Iterations: 367,692,695
TSP Iterations: 400,000

--- Statistics ---
Minimum Distance: 0.13811
Std Dev of NN Distances: 0.00015

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    160.3
1      #011d00  1,29,0         0.199    0.067    141.8
2      #491f00  73,31,0        0.295    0.076    51.8
3      #674900  103,73,0       0.427    0.088    81.9
4      #064200  6,66,0         0.331    0.110    141.5
5      #066d00  6,109,0        0.463    0.156    142.2
6      #837600  131,118,0      0.560    0.117    101.4
7      #d67300  214,115,0      0.655    0.158    57.2
8      #fda301  253,163,1      0.787    0.170    70.5
9      #ffabac  255,171,172    0.823    0.099    18.8
10     #fb99ff  251,153,255    0.817    0.173    325.7
11     #c7d2ff  199,210,255    0.871    0.063    273.9
12     #feffff  254,255,255    0.999    0.001    180.7
13     #ffdc8f  255,220,143    0.907    0.103    85.6
14     #feff02  254,255,2      0.967    0.211    109.9
15     #c0d700  192,215,0      0.832    0.192    117.3
16     #19fc05  25,252,5       0.861    0.290    142.2
17     #29c900  41,201,0       0.728    0.241    141.4
18     #009a04  0,154,4        0.595    0.202    142.6
19     #00b78e  0,183,142      0.692    0.138    169.5
20     #a1a401  161,164,1      0.693    0.152    111.1
21     #adc39c  173,195,156    0.790    0.060    132.2
22     #01eaa2  1,234,162      0.829    0.182    162.0
23     #6dffff  109,255,255    0.921    0.125    195.0
24     #01d0ef  1,208,239      0.788    0.138    213.1
25     #8da6ff  141,166,255    0.743    0.132    271.1
26     #ac6dff  172,109,255    0.668    0.211    301.0
27     #f94dff  249,77,255     0.725    0.278    326.5
28     #c201d9  194,1,217      0.586    0.278    322.4
29     #f5019e  245,1,158      0.638    0.265    351.3
30     #bd0060  189,0,96       0.517    0.209    1.4
31     #910096  145,0,150      0.464    0.215    326.4
32     #5200a4  82,0,164       0.384    0.211    294.9
33     #004eac  0,78,172       0.445    0.165    258.1
34     #035b61  3,91,97        0.429    0.072    202.6
35     #018777  1,135,119      0.560    0.101    180.0
36     #79626f  121,98,111     0.524    0.034    343.6
37     #7658c0  118,88,192     0.541    0.157    293.7
38     #6c04ff  108,4,255      0.511    0.292    287.4
39     #0700f5  7,0,245        0.440    0.303    264.5
40     #0665ff  6,101,255      0.563    0.241    261.1
41     #0092d3  0,146,211      0.626    0.141    238.9
42     #949496  148,148,150    0.667    0.003    295.8
43     #b963a0  185,99,160     0.620    0.133    339.4
44     #ff6982  255,105,130    0.714    0.183    12.9
45     #f50001  245,0,1        0.609    0.250    29.2
46     #ae4200  174,66,0       0.521    0.154    43.1
47     #88001d  136,0,29       0.395    0.159    21.1
48     #5b3663  91,54,99       0.397    0.086    320.6
49     #400042  64,0,66        0.264    0.122    327.0
50     #00314e  0,49,78        0.300    0.071    242.3
51     #06008e  6,0,142        0.295    0.201    265.5
52     #010044  1,0,68         0.176    0.121    264.9
53     #120008  18,0,8         0.119    0.050    350.1
