--- Iterations ---
Total Iterations: 210,452,165
Ext Iterations: 86,995,375
TSP Iterations: 123,456

--- Statistics ---
Minimum Distance: 0.17976
Std Dev of NN Distances: 0.00009

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    171.6
1      #220008  34,0,8         0.161    0.064    7.7
2      #023000  2,48,0         0.270    0.091    141.9
3      #004e6f  0,78,111       0.399    0.085    235.5
4      #00898d  0,137,141      0.572    0.097    199.0
5      #006600  0,102,0        0.443    0.151    142.5
6      #02a100  2,161,0        0.614    0.209    142.5
7      #29df01  41,223,1       0.785    0.262    141.6
8      #6fc09e  111,192,158    0.745    0.095    165.2
9      #45a6ff  69,166,255     0.708    0.159    249.6
10     #a670b5  166,112,181    0.626    0.117    318.9
11     #a60078  166,0,120      0.483    0.205    345.0
12     #55006e  85,0,110       0.335    0.165    315.4
13     #680001  104,0,1        0.324    0.133    28.7
14     #82533f  130,83,63      0.491    0.071    44.7
15     #b48600  180,134,0      0.646    0.133    84.2
16     #fcb800  252,184,0      0.824    0.170    81.4
17     #dbff01  219,255,1      0.940    0.222    119.4
18     #fefeda  254,254,218    0.989    0.047    107.5
19     #01fffe  1,255,254      0.905    0.155    194.3
20     #c9c9ff  201,201,255    0.854    0.075    285.1
21     #ff80ff  255,128,255    0.787    0.214    327.4
22     #ff8181  255,129,129    0.746    0.154    21.3
23     #df1700  223,23,0       0.574    0.228    30.4
24     #fb019d  251,1,157      0.649    0.268    352.9
25     #d001ff  208,1,255      0.633    0.308    317.5
26     #7b00d3  123,0,211      0.482    0.256    300.7
27     #0065e0  0,101,224      0.535    0.204    258.7
28     #1700ba  23,0,186       0.363    0.243    267.7
29     #01005a  1,0,90         0.212    0.146    264.6
