--- Iterations ---
Total Iterations: 290,612,844
Ext Iterations: 122,574,436
TSP Iterations: 168,038

--- Statistics ---
Minimum Distance: 0.16775
Std Dev of NN Distances: 0.00017

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.008    126.1
1      #210000  33,0,0         0.155    0.063    29.4
2      #023007  2,48,7         0.269    0.082    144.7
3      #471943  71,25,67       0.303    0.092    330.7
4      #005172  0,81,114       0.410    0.086    234.6
5      #693d00  105,61,0       0.404    0.090    66.5
6      #006b01  0,107,1        0.457    0.155    142.5
7      #008e87  0,142,135      0.583    0.101    188.9
8      #00a600  0,166,0        0.629    0.214    142.5
9      #01c8a8  1,200,168      0.744    0.140    175.3
10     #01eb0f  1,235,15       0.815    0.276    142.7
11     #7cffbd  124,255,189    0.908    0.149    159.5
12     #fff601  255,246,1      0.949    0.204    107.2
13     #ffffff  255,255,255    1.000    0.000    24.8
14     #ffc198  255,193,152    0.858    0.090    55.4
15     #b09ba2  176,155,162    0.710    0.026    355.0
16     #bab001  186,176,1      0.742    0.158    105.4
17     #ff7704  255,119,4      0.719    0.191    49.3
18     #9d7000  157,112,0      0.576    0.119    80.4
19     #d71c01  215,28,1       0.561    0.219    31.0
20     #ff4392  255,67,146     0.679    0.229    0.1
21     #ff10fe  255,16,254     0.703    0.319    328.6
22     #ba00b4  186,0,180      0.550    0.251    330.0
23     #8a628c  138,98,140     0.552    0.079    324.7
24     #950050  149,0,80       0.434    0.177    358.5
25     #69009f  105,0,159      0.410    0.210    307.4
26     #822eff  130,46,255     0.552    0.274    292.9
27     #b27af6  178,122,246    0.689    0.182    302.7
28     #ffa5fa  255,165,250    0.838    0.151    328.7
29     #9fd6ff  159,214,255    0.852    0.081    241.4
30     #0daaff  13,170,255     0.708    0.167    242.4
31     #006ed3  0,110,211      0.544    0.177    254.7
32     #0201ff  2,1,255        0.453    0.313    264.2
33     #14009c  20,0,156       0.319    0.212    268.3
34     #010045  1,0,69         0.178    0.122    264.8
