--- Iterations ---
Total Iterations: 419,155,804
Ext Iterations: 188,565,955
TSP Iterations: 230,589

--- Statistics ---
Minimum Distance: 0.15610
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    225.1
1      #190009  25,0,9         0.140    0.057    357.2
2      #002500  0,37,0         0.229    0.078    142.6
3      #045100  4,81,0         0.378    0.127    142.1
4      #0a8200  10,130,0       0.526    0.177    142.1
5      #019992  1,153,146      0.615    0.106    189.5
6      #01b4f9  1,180,249      0.726    0.154    235.1
7      #01d1ae  1,209,174      0.768    0.145    174.8
8      #b0a7a4  176,167,164    0.735    0.011    42.6
9      #ffc898  255,200,152    0.871    0.089    63.1
10     #ff8801  255,136,1      0.745    0.181    56.7
11     #ff769e  255,118,158    0.738    0.170    4.0
12     #ffb1fd  255,177,253    0.859    0.131    327.5
13     #a0dcff  160,220,255    0.865    0.078    234.8
14     #ffffff  255,255,255    1.000    0.000    273.9
15     #91ffba  145,255,186    0.916    0.140    155.0
16     #fefc02  254,252,2      0.961    0.208    109.1
17     #bfc800  191,200,0      0.800    0.179    113.2
18     #2af401  42,244,1       0.840    0.281    141.7
19     #08bb00  8,187,0        0.686    0.233    142.4
20     #999000  153,144,0      0.640    0.136    105.0
21     #b46862  180,104,98     0.602    0.099    25.2
22     #fd0b00  253,11,0       0.626    0.254    29.6
23     #e5008c  229,0,140      0.603    0.248    353.8
24     #9a0073  154,0,115      0.459    0.197    343.0
25     #8c5bb5  140,91,181     0.564    0.142    307.6
26     #3878ff  56,120,255     0.608    0.212    262.7
27     #ab8dff  171,141,255    0.718    0.163    294.0
28     #ff60fe  255,96,254     0.749    0.258    328.1
29     #c301f1  195,1,241      0.605    0.294    317.1
30     #770dff  119,13,255     0.524    0.290    290.7
31     #5f00a2  95,0,162       0.398    0.210    301.7
32     #480049  72,0,73        0.283    0.130    328.0
33     #572600  87,38,0        0.333    0.086    51.6
34     #a12200  161,34,0       0.462    0.166    34.0
35     #5c5959  92,89,89       0.468    0.004    16.5
36     #0056ae  0,86,174       0.463    0.158    256.0
37     #0101fe  1,1,254        0.451    0.312    264.1
38     #0300a2  3,0,162        0.323    0.223    264.5
39     #003a59  0,58,89        0.333    0.077    240.3
40     #01004f  1,0,79         0.194    0.133    264.6
