--- Iterations ---
Total Iterations: 168,188,110
Ext Iterations: 60,643,529
TSP Iterations: 107,544

--- Statistics ---
Minimum Distance: 0.18500
Std Dev of NN Distances: 0.00018

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.027    346.3
1      #020058  2,0,88         0.210    0.143    265.3
2      #0200bd  2,0,189        0.362    0.250    264.3
3      #560077  86,0,119       0.345    0.172    311.8
4      #a90070  169,0,112      0.485    0.203    349.1
5      #a773b5  167,115,181    0.633    0.112    319.2
6      #ff8679  255,134,121    0.753    0.149    27.6
7      #ff89fe  255,137,254    0.799    0.199    327.5
8      #99c0ff  153,192,255    0.802    0.099    260.0
9      #01a4a1  1,164,161      0.650    0.111    192.5
10     #25bb01  37,187,1       0.690    0.229    141.4
11     #14fe02  20,254,2       0.866    0.293    142.3
12     #faff03  250,255,3      0.964    0.212    111.0
13     #ffffff  255,255,255    1.000    0.000    127.5
14     #02fff2  2,255,242      0.901    0.156    188.3
15     #c0c977  192,201,119    0.809    0.105    113.7
16     #aa8400  170,132,0      0.631    0.129    88.0
17     #007e01  0,126,1        0.514    0.174    142.5
18     #004724  0,71,36        0.349    0.087    154.3
19     #2b5e90  43,94,144      0.471    0.099    250.5
20     #1182ff  17,130,255     0.621    0.207    256.2
21     #690eff  105,14,255     0.510    0.290    286.2
22     #c701fe  199,1,254      0.620    0.304    315.5
23     #ff00a3  255,0,163      0.657    0.272    351.7
24     #e51600  229,22,0       0.585    0.233    30.3
25     #85440a  133,68,10      0.461    0.110    54.5
26     #550002  85,0,2         0.283    0.115    27.8
27     #001400  0,20,0         0.166    0.056    142.8
