--- Iterations ---
Total Iterations: 405,563,528
Ext Iterations: 186,084,791
TSP Iterations: 219,478

--- Statistics ---
Minimum Distance: 0.15773
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    160.5
1      #1b0001  27,0,1         0.140    0.057    24.2
2      #002c1f  0,44,31        0.260    0.052    168.9
3      #005502  0,85,2         0.390    0.132    142.7
4      #7c6100  124,97,0       0.506    0.103    89.8
5      #008c01  0,140,1        0.555    0.188    142.5
6      #50868e  80,134,142     0.586    0.058    207.4
7      #afa3a8  175,163,168    0.728    0.015    348.2
8      #ae8bff  174,139,255    0.718    0.166    296.0
9      #0ab2ff  10,178,255     0.727    0.161    238.4
10     #01ceb0  1,206,176      0.762    0.141    177.3
11     #06c301  6,195,1        0.708    0.240    142.4
12     #4afe00  74,254,0       0.872    0.283    140.4
13     #86ffbd  134,255,189    0.912    0.144    158.1
14     #faff01  250,255,1      0.964    0.212    111.0
15     #c8ca01  200,202,1      0.810    0.177    110.4
16     #a29400  162,148,0      0.657    0.138    102.9
17     #ff8601  255,134,1      0.741    0.182    55.7
18     #ffc59f  255,197,159    0.866    0.084    54.4
19     #ffffff  255,255,255    1.000    0.000    132.8
20     #a1daff  161,218,255    0.863    0.078    237.2
21     #feaeff  254,174,255    0.854    0.138    326.5
22     #ff73a0  255,115,160    0.734    0.175    2.4
23     #ff0004  255,0,4        0.627    0.257    29.0
24     #b5606a  181,96,106     0.591    0.111    13.0
25     #e4009d  228,0,157      0.608    0.255    347.9
26     #ff54fe  255,84,254     0.739    0.272    328.1
27     #bc09ff  188,9,255      0.606    0.301    311.9
28     #875abd  135,90,189     0.560    0.153    302.7
29     #0276ff  2,118,255      0.595    0.222    258.3
30     #1604fc  22,4,252       0.453    0.307    265.8
31     #0053a8  0,83,168       0.453    0.153    255.8
32     #050099  5,0,153        0.310    0.212    265.2
33     #6300b3  99,0,179       0.420    0.225    299.0
34     #9a0079  154,0,121      0.462    0.200    341.1
35     #a40001  164,0,1        0.450    0.185    29.2
36     #5d4155  93,65,85       0.415    0.048    338.5
37     #570003  87,0,3         0.286    0.117    27.5
38     #43005c  67,0,92        0.290    0.144    313.1
39     #010045  1,0,69         0.177    0.122    264.9
