--- Iterations ---
Total Iterations: 819,870,890
Ext Iterations: 389,692,564
TSP Iterations: 430,178

--- Statistics ---
Minimum Distance: 0.13651
Std Dev of NN Distances: 0.00009

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.014    161.3
1      #140004  20,0,4         0.122    0.049    4.6
2      #380038  56,0,56        0.238    0.109    328.2
3      #491e00  73,30,0        0.293    0.077    50.8
4      #001e00  0,30,0         0.203    0.069    142.5
5      #003249  0,50,73        0.298    0.065    236.7
6      #005b62  0,91,98        0.430    0.073    203.0
7      #0a4301  10,67,1        0.333    0.109    141.0
8      #674b00  103,75,0       0.431    0.088    83.8
9      #006c03  0,108,3        0.462    0.156    142.7
10     #019901  1,153,1        0.592    0.201    142.5
11     #827700  130,119,0      0.562    0.118    103.0
12     #82636c  130,99,108     0.534    0.041    359.6
13     #613859  97,56,89       0.404    0.075    333.8
14     #910006  145,0,6        0.412    0.169    28.0
15     #bb4300  187,67,0       0.544    0.166    41.4
16     #ff4627  255,70,39      0.663    0.225    32.1
17     #ff0b87  255,11,135     0.649    0.260    0.6
18     #bd0064  189,0,100      0.518    0.210    359.8
19     #c903bb  201,3,187      0.579    0.260    332.1
20     #fd08ff  253,8,255      0.700    0.320    328.0
21     #ff83fe  255,131,254    0.791    0.209    327.6
22     #b4a9ff  180,169,255    0.777    0.121    289.3
23     #ffc5f9  255,197,249    0.891    0.094    329.7
24     #ffd09c  255,208,156    0.886    0.086    69.1
25     #fc9f01  252,159,1      0.778    0.170    68.3
26     #ff949b  255,148,155    0.780    0.129    16.2
27     #c1825b  193,130,91     0.663    0.095    52.6
28     #a4a601  164,166,1      0.700    0.154    110.8
29     #0ac800  10,200,0       0.723    0.245    142.3
30     #01e6a0  1,230,160      0.818    0.179    162.3
31     #25f901  37,249,1       0.854    0.287    141.9
32     #bdd701  189,215,1      0.829    0.193    118.2
33     #feff01  254,255,1      0.967    0.211    110.0
34     #b5ffb8  181,255,184    0.934    0.120    145.3
35     #ffffff  255,255,255    1.000    0.000    131.7
36     #a1e5ff  161,229,255    0.886    0.077    223.4
37     #01c6f8  1,198,248      0.768    0.145    224.3
38     #00b697  0,182,151      0.693    0.131    174.7
39     #aebaa8  174,186,168    0.774    0.028    133.9
40     #7d92ac  125,146,172    0.653    0.045    254.4
41     #008776  0,135,118      0.559    0.102    179.5
42     #0072b8  0,114,184      0.536    0.138    246.0
43     #3593ff  53,147,255     0.663    0.182    254.6
44     #4e57ff  78,87,255      0.560    0.243    272.9
45     #0f00f6  15,0,246       0.442    0.303    265.2
46     #1340a5  19,64,165      0.411    0.170    263.1
47     #6500d0  101,0,208      0.453    0.252    293.1
48     #a201fe  162,1,254      0.570    0.296    304.7
49     #b46fff  180,111,255    0.679    0.208    303.3
50     #c86ba6  200,107,166    0.653    0.137    342.5
51     #8756ba  135,86,186     0.553    0.155    304.6
52     #8a008d  138,0,141      0.447    0.206    327.3
53     #4c0081  76,0,129       0.340    0.179    302.7
54     #010082  1,0,130        0.275    0.190    264.4
55     #00003d  0,0,61         0.163    0.113    264.2
