--- Iterations ---
Total Iterations: 69,171,926
Ext Iterations: 8,678,099
TSP Iterations: 60,493

--- Statistics ---
Minimum Distance: 0.21053
Std Dev of NN Distances: 0.00020

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.024    354.3
1      #021b00  2,27,0         0.193    0.063    140.8
2      #085500  8,85,0         0.392    0.131    141.8
3      #730000  115,0,0        0.349    0.143    29.2
4      #be016c  190,1,108      0.522    0.213    356.6
5      #fd00e4  253,0,228      0.683    0.305    334.0
6      #ff6a69  255,106,105    0.709    0.183    23.2
7      #9b6100  155,97,0       0.543    0.118    69.0
8      #019f2c  1,159,44       0.612    0.191    145.2
9      #d1b100  209,177,0      0.766    0.158    96.2
10     #06ed01  6,237,1        0.820    0.278    142.4
11     #fefe00  254,254,0      0.966    0.211    109.9
12     #ffffff  255,255,255    1.000    0.000    3.6
13     #dfafff  223,175,255    0.825    0.120    311.0
14     #02ebe4  2,235,228      0.848    0.146    191.1
15     #06a4ff  6,164,255      0.694    0.172    244.7
16     #00679b  0,103,155      0.492    0.114    240.8
17     #1500fa  21,0,250       0.449    0.306    265.7
18     #8f4eff  143,78,255     0.598    0.246    294.7
19     #650098  101,0,152      0.397    0.204    307.5
20     #01006b  1,0,107        0.240    0.165    264.4
