--- Iterations ---
Total Iterations: 118,958,730
Ext Iterations: 39,946,385
TSP Iterations: 79,012

--- Statistics ---
Minimum Distance: 0.19839
Std Dev of NN Distances: 0.00018

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.015    22.1
1      #01003b  1,0,59         0.161    0.109    265.8
2      #40008c  64,0,140       0.336    0.188    291.8
3      #0001f9  0,1,249        0.445    0.308    264.1
4      #367cff  54,124,255     0.616    0.208    261.4
5      #af71a8  175,113,168    0.634    0.107    331.2
6      #b48501  180,133,1      0.644    0.132    83.2
7      #ec1100  236,17,0       0.596    0.240    29.9
8      #844300  132,67,0       0.455    0.111    56.0
9      #043a00  4,58,0         0.304    0.101    141.6
10     #017701  1,119,1        0.492    0.167    142.5
11     #005f85  0,95,133       0.459    0.096    234.3
12     #01a29f  1,162,159      0.644    0.110    192.8
13     #12c201  18,194,1       0.706    0.238    142.2
14     #01ffb2  1,255,178      0.884    0.192    162.5
15     #ffff02  255,255,2      0.968    0.211    109.8
16     #ffb978  255,185,120    0.837    0.115    62.9
17     #ffffff  255,255,255    0.999    0.001    303.0
18     #84d1ff  132,209,255    0.827    0.100    236.2
19     #ff9cfe  255,156,254    0.825    0.170    327.2
20     #f601e9  246,1,233      0.675    0.306    331.2
21     #9301f2  147,1,242      0.541    0.284    302.6
22     #960075  150,0,117      0.454    0.196    341.1
23     #500020  80,0,32        0.276    0.111    5.5
