--- Iterations ---
Total Iterations: 16,705,721
Ext Iterations: 107,642
TSP Iterations: 16,598

--- Statistics ---
Minimum Distance: 0.28959
Std Dev of NN Distances: 0.00017

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    324.1
1      #500002  80,0,2         0.271    0.111    28.0
2      #046a00  4,106,0        0.455    0.154    142.2
3      #01abd0  1,171,208      0.685    0.125    220.9
4      #ff86fd  255,134,253    0.794    0.204    327.8
5      #fafffe  250,255,254    0.996    0.005    179.1
6      #62ff21  98,255,33      0.881    0.271    139.3
7      #f19b01  241,155,1      0.758    0.164    70.0
8      #cb014f  203,1,79       0.537    0.215    10.6
9      #8e00fe  142,0,254      0.545    0.293    298.5
10     #020098  2,0,152        0.308    0.212    264.4
