--- Iterations ---
Total Iterations: 147,307,218
Ext Iterations: 54,577,452
TSP Iterations: 92,729

--- Statistics ---
Minimum Distance: 0.19211
Std Dev of NN Distances: 0.00029

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    219.3
1      #02006b  2,0,107        0.239    0.164    264.8
2      #005079  0,80,121       0.412    0.095    240.7
3      #0500da  5,0,218        0.402    0.277    264.5
4      #1671ff  22,113,255     0.587    0.226    260.2
5      #00929b  0,146,155      0.600    0.102    202.5
6      #056e00  5,110,0        0.468    0.158    142.2
7      #a37a01  163,122,1      0.603    0.123    85.2
8      #d90300  217,3,0        0.556    0.227    29.4
9      #ff7e70  255,126,112    0.739    0.160    28.2
10     #ffafff  255,175,255    0.856    0.137    326.8
11     #ffffff  255,255,255    1.000    0.000    269.1
12     #ffff19  255,255,25     0.968    0.208    109.7
13     #c6bf4a  198,191,74     0.789    0.137    105.9
14     #05af01  5,175,1        0.653    0.221    142.4
15     #1df301  29,243,1       0.836    0.282    142.1
16     #0cffe0  12,255,224     0.896    0.162    179.8
17     #63c0ff  99,192,255     0.776    0.127    240.8
18     #b078ce  176,120,206    0.663    0.137    313.1
19     #fb01fc  251,1,252      0.694    0.319    328.0
20     #9400fe  148,0,254      0.553    0.294    300.4
21     #b0008c  176,0,140      0.510    0.221    340.3
22     #5c005c  92,0,92        0.334    0.153    328.2
23     #773600  119,54,0       0.412    0.107    51.2
24     #013500  1,53,0         0.286    0.097    142.3
25     #26000d  38,0,13        0.173    0.070    3.7
