--- Iterations ---
Total Iterations: 618,954,414
Ext Iterations: 289,599,133
TSP Iterations: 329,355

--- Statistics ---
Minimum Distance: 0.14459
Std Dev of NN Distances: 0.00015

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    161.2
1      #010046  1,0,70         0.179    0.123    264.8
2      #410053  65,0,83        0.278    0.136    316.1
3      #003753  0,55,83        0.320    0.072    239.1
4      #002202  0,34,2         0.217    0.070    144.3
5      #074900  7,73,0         0.354    0.118    141.6
6      #006a63  0,106,99       0.472    0.082    187.1
7      #008406  0,132,6        0.530    0.179    142.8
8      #7e6200  126,98,0       0.511    0.104    89.1
9      #ce6200  206,98,0       0.617    0.161    50.9
10     #ff3763  255,55,99      0.659    0.231    14.9
11     #ff01bd  255,1,189      0.667    0.284    344.5
12     #c46cb7  196,108,183    0.656    0.146    333.1
13     #fe7aff  254,122,255    0.778    0.223    327.1
14     #ada1ff  173,161,255    0.755    0.134    288.7
15     #00b8e6  0,184,230      0.728    0.137    224.0
16     #8de0ff  141,224,255    0.865    0.091    223.6
17     #00dbab  0,219,171      0.793    0.158    169.3
18     #00f816  0,248,22       0.849    0.286    142.8
19     #24c300  36,195,0       0.712    0.237    141.5
20     #01a87f  1,168,127      0.651    0.132    167.7
21     #a49a00  164,154,0      0.674    0.143    105.2
22     #fc9300  252,147,0      0.757    0.174    62.3
23     #ff8ea6  255,142,166    0.775    0.138    7.5
24     #f9c2ff  249,194,255    0.883    0.100    323.1
25     #fdfcff  253,252,255    0.993    0.004    300.1
26     #a7ffbb  167,255,187    0.927    0.126    150.4
27     #fffd0f  255,253,15     0.963    0.207    109.0
28     #bbd101  187,209,1      0.816    0.189    117.3
29     #ffcf88  255,207,136    0.882    0.103    76.7
30     #b0b5a1  176,181,161    0.762    0.028    118.7
31     #8f837f  143,131,127    0.621    0.016    40.7
32     #0085ba  0,133,186      0.583    0.125    235.6
33     #0362ff  3,98,255       0.557    0.245    261.4
34     #7200fb  114,0,251      0.511    0.289    289.8
35     #9068ff  144,104,255    0.635    0.214    291.2
36     #cc00fe  204,0,254      0.628    0.306    316.6
37     #9a00b5  154,0,181      0.500    0.240    319.8
38     #5600a6  86,0,166       0.391    0.213    296.3
39     #030092  3,0,146        0.299    0.206    264.7
40     #0900e5  9,0,229        0.419    0.288    264.8
41     #0050a2  0,80,162       0.441    0.149    255.7
42     #7b558b  123,85,139     0.511    0.094    315.8
43     #7f0360  127,3,96       0.400    0.170    342.4
44     #c30071  195,0,113      0.532    0.218    355.8
45     #a92400  169,36,0       0.479    0.173    33.8
46     #603a2f  96,58,47       0.392    0.056    37.5
47     #490000  73,0,0         0.255    0.105    29.1
48     #150007  21,0,7         0.126    0.051    357.2
