--- Iterations ---
Total Iterations: 13,742,680
Ext Iterations: 25,259
TSP Iterations: 13,717

--- Statistics ---
Minimum Distance: 0.30961
Std Dev of NN Distances: 0.00013

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.011    30.5
1      #002b58  0,43,88        0.293    0.093    253.9
2      #1f7d00  31,125,0       0.516    0.168    140.5
3      #f58e01  245,142,1      0.741    0.170    62.2
4      #02fa3d  2,250,61       0.857    0.275    144.3
5      #ffffff  255,255,255    1.000    0.000    94.2
6      #02b6f4  2,182,244      0.728    0.148    232.1
7      #ff62fe  255,98,254     0.752    0.256    327.9
8      #6c01ff  108,1,255      0.510    0.293    287.3
9      #af004f  175,0,79       0.485    0.195    5.6
