--- Iterations ---
Total Iterations: 1,090,527,831
Ext Iterations: 528,662,262
TSP Iterations: 561,865

--- Statistics ---
Minimum Distance: 0.12886
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.027    343.8
1      #010033  1,0,51         0.147    0.099    266.3
2      #2b000f  43,0,15        0.186    0.075    3.8
3      #2f0057  47,0,87        0.253    0.134    301.0
4      #5d0093  93,0,147       0.380    0.197    305.5
5      #6500e0  101,0,224      0.470    0.266    289.9
6      #9a00b7  154,0,183      0.502    0.241    319.5
7      #694eaa  105,78,170     0.499    0.141    294.1
8      #5f415a  95,65,90       0.417    0.057    332.5
9      #8d0067  141,0,103      0.430    0.183    344.3
10     #5d0038  93,0,56        0.315    0.130    351.9
11     #4c2a00  76,42,0        0.322    0.072    64.5
12     #024b00  2,75,0         0.358    0.121    142.2
13     #665200  102,82,0       0.446    0.091    91.6
14     #006260  0,98,96        0.449    0.077    191.6
15     #007201  0,114,1        0.480    0.163    142.6
16     #008d73  0,141,115      0.574    0.110    173.5
17     #90977e  144,151,126    0.665    0.037    120.5
18     #00bc88  0,188,136      0.704    0.148    164.9
19     #149e00  20,158,0       0.608    0.204    141.9
20     #13cd00  19,205,0       0.737    0.249    142.2
21     #a3ac01  163,172,1      0.712    0.159    113.6
22     #cfd401  207,212,1      0.838    0.185    111.7
23     #ffa702  255,167,2      0.797    0.170    71.8
24     #ffc5ad  255,197,173    0.869    0.074    43.3
25     #a4c8a3  164,200,163    0.796    0.065    144.2
26     #cca1ba  204,161,186    0.756    0.061    342.3
27     #ffb0ff  255,176,255    0.858    0.135    326.7
28     #bedbff  190,219,255    0.881    0.059    253.9
29     #ffffff  255,255,255    1.000    0.000    351.5
30     #c9f5af  201,245,175    0.922    0.103    134.3
31     #fcff01  252,255,1      0.965    0.211    110.6
32     #86ff02  134,255,2      0.892    0.261    135.2
33     #01ed9a  1,237,154      0.834    0.192    159.0
34     #25fffd  37,255,253     0.907    0.151    194.0
35     #01d1fc  1,209,252      0.796    0.144    219.7
36     #8aa6ff  138,166,255    0.741    0.133    269.9
37     #01a6c7  1,166,199      0.669    0.121    219.2
38     #2488ff  36,136,255     0.635    0.198    256.2
39     #0077ae  0,119,174      0.542    0.122    239.1
40     #786b6e  120,107,110    0.540    0.017    0.1
41     #817a00  129,122,0      0.568    0.121    105.6
42     #cd7c00  205,124,0      0.658    0.147    65.8
43     #ff7b70  255,123,112    0.734    0.163    26.7
44     #ff6cc3  255,108,195    0.737    0.201    346.6
45     #c775ff  199,117,255    0.708    0.205    309.6
46     #ff2ffb  255,47,251     0.712    0.303    329.0
47     #c101fe  193,1,254      0.612    0.303    313.7
48     #cb42b5  203,66,181     0.612    0.212    334.9
49     #ff017c  255,1,124      0.644    0.259    3.9
50     #f03401  240,52,1       0.621    0.228    33.1
51     #c4014b  196,1,75       0.524    0.209    11.0
52     #8d1309  141,19,9       0.413    0.157    29.8
53     #ac4c00  172,76,0       0.531    0.144    48.3
54     #c16579  193,101,121    0.620    0.119    7.6
55     #8c7bbf  140,123,191    0.625    0.103    294.9
56     #8057ff  128,87,255     0.595    0.236    288.5
57     #0b51ff  11,81,255      0.528    0.263    263.5
58     #0b00d6  11,0,214       0.398    0.273    265.1
59     #01008d  1,0,141        0.291    0.202    264.2
60     #004792  0,71,146       0.408    0.139    255.9
61     #0c334b  12,51,75       0.308    0.061    240.6
62     #002700  0,39,0         0.235    0.080    142.4
63     #000700  0,7,0          0.112    0.038    142.7
