--- Iterations ---
Total Iterations: 980,382,424
Ext Iterations: 469,957,184
TSP Iterations: 510,425

--- Statistics ---
Minimum Distance: 0.13148
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.023    1.3
1      #320000  50,0,0         0.199    0.082    29.1
2      #4e2900  78,41,0        0.323    0.075    61.6
3      #004801  0,72,1         0.349    0.118    142.6
4      #00605f  0,96,95        0.443    0.076    193.5
5      #018b74  1,139,116      0.568    0.107    175.5
6      #0074af  0,116,175      0.535    0.127    241.9
7      #1f4592  31,69,146      0.411    0.135    262.3
8      #4a0082  74,0,130       0.338    0.179    301.3
9      #58003c  88,0,60        0.305    0.129    346.6
10     #623f5a  98,63,90       0.418    0.062    335.7
11     #8a000d  138,0,13       0.399    0.162    26.4
12     #b90054  185,0,84       0.506    0.203    5.6
13     #89007c  137,0,124      0.433    0.194    333.5
14     #744fa8  116,79,168     0.509    0.139    300.4
15     #7c6a6e  124,106,110    0.543    0.024    3.5
16     #847c00  132,124,0      0.575    0.122    105.1
17     #d48000  212,128,0      0.674    0.151    65.1
18     #f7ae00  247,174,0      0.800    0.167    78.2
19     #ff968a  255,150,138    0.781    0.128    27.8
20     #ffd1a8  255,209,168    0.891    0.074    63.6
21     #ffffff  255,255,255    1.000    0.000    96.1
22     #beffb6  190,255,182    0.938    0.117    142.0
23     #ffff00  255,255,0      0.968    0.211    109.8
24     #bcdc01  188,220,1      0.841    0.199    119.9
25     #1fff00  31,255,0       0.868    0.292    142.1
26     #02eb9a  2,235,154      0.828    0.189    159.5
27     #03fdff  3,253,255      0.901    0.153    195.7
28     #25cdff  37,205,255     0.790    0.143    224.7
29     #a8a9ff  168,169,255    0.767    0.123    282.9
30     #c0daff  192,218,255    0.881    0.058    256.9
31     #ffaef5  255,174,245    0.850    0.131    330.9
32     #ff6fc0  255,111,192    0.740    0.194    348.0
33     #cd6b7b  205,107,123    0.645    0.124    10.7
34     #957cc1  149,124,193    0.636    0.104    300.2
35     #cb72ff  203,114,255    0.709    0.210    311.4
36     #c404ff  196,4,255      0.616    0.304    314.1
37     #fe00dc  254,0,220      0.681    0.301    336.0
38     #bf44b1  191,68,177     0.594    0.200    332.5
39     #fa0182  250,1,130      0.636    0.257    1.0
40     #f42500  244,37,0       0.619    0.239    31.3
41     #b04d00  176,77,0       0.541    0.148    47.7
42     #6a5200  106,82,0       0.450    0.092    88.8
43     #017100  1,113,0        0.475    0.161    142.5
44     #059c00  5,156,0        0.600    0.203    142.4
45     #12ca00  18,202,0       0.729    0.246    142.2
46     #a1ab01  161,171,1      0.708    0.159    114.0
47     #a4c7a0  164,199,160    0.794    0.066    141.9
48     #01b988  1,185,136      0.696    0.144    166.0
49     #949786  148,151,134    0.670    0.026    116.3
50     #00a2ca  0,162,202      0.660    0.124    223.6
51     #4281ff  66,129,255     0.630    0.199    262.3
52     #0e4aff  14,74,255      0.516    0.270    264.1
53     #8048ff  128,72,255     0.576    0.252    290.3
54     #5e00ce  94,0,206       0.443    0.249    290.7
55     #0300cd  3,0,205        0.385    0.266    264.4
56     #010082  1,0,130        0.275    0.190    264.3
57     #220044  34,0,68        0.212    0.114    298.9
58     #00314b  0,49,75        0.299    0.067    239.0
59     #002300  0,35,0         0.222    0.075    142.3
60     #000712  0,7,18         0.123    0.033    247.8
