--- Iterations ---
Total Iterations: 445,008,126
Ext Iterations: 203,032,818
TSP Iterations: 241,975

--- Statistics ---
Minimum Distance: 0.15499
Std Dev of NN Distances: 0.00015

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    158.8
1      #002400  0,36,0         0.225    0.076    142.3
2      #045000  4,80,0         0.373    0.125    142.1
3      #003b57  0,59,87        0.335    0.073    237.0
4      #0055ad  0,85,173       0.461    0.156    255.8
5      #090dff  9,13,255       0.457    0.309    264.7
6      #790cff  121,12,255     0.525    0.290    291.3
7      #c401ef  196,1,239      0.604    0.293    317.8
8      #ff5efd  255,94,253     0.747    0.260    328.2
9      #b091ff  176,145,255    0.729    0.158    295.1
10     #feb8ff  254,184,255    0.870    0.122    326.2
11     #97deff  151,222,255    0.865    0.084    228.7
12     #ffffff  255,255,255    1.000    0.000    146.1
13     #ffce8e  255,206,142    0.879    0.098    73.0
14     #fefe00  254,254,0      0.965    0.210    109.9
15     #8cffb4  140,255,180    0.913    0.148    153.8
16     #01ff19  1,255,25       0.866    0.291    142.8
17     #b1cb22  177,203,34     0.796    0.179    118.7
18     #00b605  0,182,5        0.673    0.228    142.6
19     #978c00  151,140,0      0.631    0.133    104.0
20     #f49000  244,144,0      0.742    0.168    63.6
21     #ff809e  255,128,158    0.752    0.156    6.5
22     #fe0098  254,0,152      0.651    0.267    355.0
23     #fd0006  253,0,6        0.625    0.256    28.9
24     #b36267  179,98,103     0.590    0.105    16.5
25     #a80012  168,0,18       0.460    0.187    26.6
26     #6e4268  110,66,104     0.445    0.082    332.3
27     #b20089  178,0,137      0.513    0.221    342.2
28     #8960bf  137,96,191     0.574    0.146    302.0
29     #047bff  4,123,255      0.605    0.216    257.4
30     #01b4f7  1,180,247      0.726    0.152    234.2
31     #00d0ab  0,208,171      0.765    0.146    173.6
32     #a7a2a2  167,162,162    0.716    0.005    22.4
33     #3d8687  61,134,135     0.575    0.073    195.9
34     #008101  0,129,1        0.522    0.177    142.6
35     #795900  121,89,0       0.484    0.099    84.4
36     #572600  87,38,0        0.333    0.086    51.4
37     #4b004b  75,0,75        0.290    0.133    328.7
38     #5e00a3  94,0,163       0.398    0.211    300.8
39     #0200a3  2,0,163        0.325    0.224    264.4
40     #030050  3,0,80         0.198    0.134    266.5
41     #18000a  24,0,10        0.136    0.056    353.6
