--- Iterations ---
Total Iterations: 468,540,944
Ext Iterations: 214,905,828
TSP Iterations: 253,635

--- Statistics ---
Minimum Distance: 0.15313
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    162.6
1      #16000b  22,0,11        0.133    0.056    349.2
2      #010050  1,0,80         0.196    0.134    264.9
3      #0f00a4  15,0,164       0.329    0.222    266.7
4      #0100ff  1,0,255        0.452    0.313    264.1
5      #3751b4  55,81,180      0.472    0.160    268.4
6      #317dff  49,125,255     0.616    0.208    260.6
7      #00b6f5  0,182,245      0.729    0.149    232.3
8      #01d5ad  1,213,173      0.777    0.149    172.8
9      #00bb13  0,187,19       0.686    0.230    143.0
10     #bac801  186,200,1      0.796    0.180    114.8
11     #50fb23  80,251,35      0.867    0.273    140.6
12     #feff02  254,255,2      0.967    0.211    109.9
13     #9cffbc  156,255,188    0.922    0.132    153.3
14     #ffcd91  255,205,145    0.879    0.095    71.1
15     #ffffff  255,255,255    1.000    0.000    59.3
16     #a2dcff  162,220,255    0.867    0.077    235.3
17     #ffb3ff  255,179,255    0.862    0.131    326.6
18     #ae94ff  174,148,255    0.733    0.152    293.4
19     #aba8a7  171,168,167    0.734    0.004    41.3
20     #ff7e9a  255,126,154    0.747    0.159    7.8
21     #f59101  245,145,1      0.746    0.169    63.4
22     #989001  152,144,1      0.640    0.136    105.9
23     #019f8d  1,159,141      0.629    0.113    181.0
24     #008301  0,131,1        0.527    0.179    142.5
25     #006c6e  0,108,110      0.481    0.082    197.4
26     #7c5d00  124,93,0       0.496    0.102    85.2
27     #b96765  185,103,101    0.606    0.105    22.0
28     #ff0d0f  255,13,15      0.631    0.255    28.8
29     #af0700  175,7,0        0.475    0.192    29.7
30     #b5077e  181,7,126      0.514    0.213    347.2
31     #fe019f  254,1,159      0.654    0.270    352.7
32     #ff66ff  255,102,255    0.756    0.251    327.7
33     #cb01ef  203,1,239      0.614    0.295    319.6
34     #9460be  148,96,190     0.585    0.147    308.3
35     #752bff  117,43,255     0.538    0.277    289.0
36     #7600a4  118,0,164      0.433    0.217    311.3
37     #6f4161  111,65,97      0.442    0.078    339.5
38     #531b00  83,27,0        0.306    0.092    42.5
39     #4d0256  77,2,86        0.304    0.141    323.1
40     #003a59  0,58,89        0.331    0.077    241.0
41     #014d00  1,77,0         0.365    0.124    142.4
42     #002301  0,35,1         0.221    0.073    143.2
