--- Iterations ---
Total Iterations: 597,099,357
Ext Iterations: 281,049,975
TSP Iterations: 316,049

--- Statistics ---
Minimum Distance: 0.14642
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.014    202.3
1      #170001  23,0,1         0.130    0.053    25.7
2      #002604  0,38,4         0.234    0.074    144.6
3      #1d3e51  29,62,81       0.349    0.051    235.6
4      #025300  2,83,0         0.384    0.130    142.3
5      #00746a  0,116,106      0.502    0.088    184.8
6      #018d00  1,141,0        0.559    0.190    142.5
7      #836b00  131,107,0      0.535    0.110    93.1
8      #a09e01  160,158,1      0.679    0.147    109.0
9      #00c617  0,198,23       0.715    0.239    143.1
10     #02fc42  2,252,66       0.861    0.274    144.5
11     #bed101  190,209,1      0.819    0.188    116.4
12     #fffe00  255,254,0      0.967    0.211    109.7
13     #a0ffb6  160,255,182    0.923    0.134    150.5
14     #01d8ae  1,216,174      0.787    0.153    171.7
15     #b1afa1  177,175,161    0.751    0.019    99.5
16     #ff8aa4  255,138,164    0.768    0.143    6.8
17     #bf69ae  191,105,174    0.641    0.139    335.0
18     #9663ff  150,99,255     0.633    0.221    294.4
19     #b2a0ff  178,160,255    0.758    0.135    291.8
20     #ff74fd  255,116,253    0.771    0.231    327.9
21     #da01ff  218,1,255      0.647    0.310    320.0
22     #fe01af  254,1,175      0.661    0.278    348.0
23     #fc0046  252,0,70       0.627    0.252    19.2
24     #b72800  183,40,0       0.510    0.184    33.9
25     #cb714d  203,113,77     0.642    0.124    42.3
26     #ff9701  255,151,1      0.768    0.174    63.7
27     #ffd292  255,210,146    0.889    0.095    75.8
28     #ffffff  255,255,255    1.000    0.000    256.4
29     #ffc2f9  255,194,249    0.885    0.100    329.6
30     #96e1ff  150,225,255    0.871    0.085    225.1
31     #01b9f4  1,185,244      0.737    0.147    230.0
32     #01a58f  1,165,143      0.646    0.118    178.8
33     #6481b9  100,129,185    0.605    0.092    262.3
34     #006bff  0,107,255      0.573    0.235    260.1
35     #2055a5  32,85,165      0.461    0.140    258.5
36     #5500a3  85,0,163       0.387    0.210    297.0
37     #3c0053  60,0,83        0.270    0.134    313.4
38     #4e0003  78,0,3         0.266    0.108    27.1
39     #6c3900  108,57,0       0.401    0.095    59.4
40     #805271  128,82,113     0.501    0.074    339.7
41     #7a0050  122,0,80       0.383    0.160    349.2
42     #bc0076  188,0,118      0.523    0.216    352.1
43     #9c00c3  156,0,195      0.514    0.251    316.5
44     #6800fe  104,0,254      0.505    0.292    286.2
45     #0100df  1,0,223        0.408    0.282    264.1
46     #020087  2,0,135        0.282    0.194    264.7
47     #01003b  1,0,59         0.161    0.110    266.0
