--- Iterations ---
Total Iterations: 571,224,730
Ext Iterations: 268,206,898
TSP Iterations: 303,017

--- Statistics ---
Minimum Distance: 0.14715
Std Dev of NN Distances: 0.00009

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.018    166.6
1      #160005  22,0,5         0.130    0.052    4.6
2      #002301  0,35,1         0.223    0.074    143.4
3      #203b4d  32,59,77       0.340    0.045    238.4
4      #0052a2  0,82,162       0.446    0.147    255.0
5      #0065fd  0,101,253      0.560    0.240    260.9
6      #0198db  1,152,219      0.646    0.145    238.7
7      #01cdfc  1,205,252      0.788    0.146    222.1
8      #69ffff  105,255,255    0.920    0.127    194.9
9      #01dda4  1,221,164      0.797    0.165    166.1
10     #06ff35  6,255,53       0.868    0.283    143.8
11     #b8d201  184,210,1      0.816    0.190    118.3
12     #f5ff15  245,255,21     0.961    0.211    112.5
13     #ffd68c  255,214,140    0.894    0.102    81.1
14     #ffffff  255,255,255    1.000    0.000    241.8
15     #fbc1f1  251,193,241    0.878    0.091    332.3
16     #a8a3f9  168,163,249    0.753    0.123    286.1
17     #b4b7a7  180,183,167    0.773    0.024    117.4
18     #ff869a  255,134,154    0.759    0.147    10.8
19     #fd9801  253,152,1      0.768    0.172    64.9
20     #a39c01  163,156,1      0.676    0.144    106.5
21     #0bbf00  11,191,0       0.697    0.236    142.3
22     #00a988  0,169,136      0.655    0.126    172.3
23     #94848d  148,132,141    0.631    0.023    344.6
24     #007877  0,120,119      0.517    0.088    194.4
25     #0f8800  15,136,0       0.544    0.183    141.9
26     #005906  0,89,6         0.404    0.134    143.2
27     #683b00  104,59,0       0.399    0.090    63.9
28     #4d0100  77,1,0         0.265    0.108    29.5
29     #400058  64,0,88        0.281    0.140    312.7
30     #6d009b  109,0,155      0.412    0.208    310.6
31     #7c0048  124,0,72       0.383    0.157    354.4
32     #78527a  120,82,122     0.495    0.077    324.5
33     #b90079  185,0,121      0.519    0.216    350.4
34     #b12000  177,32,0       0.492    0.184    32.5
35     #8a6905  138,105,5      0.540    0.109    86.5
36     #de5d00  222,93,0       0.634    0.181    45.2
37     #fe0067  254,0,103      0.636    0.255    9.9
38     #cc61b7  204,97,183     0.650    0.171    335.3
39     #ff83ff  255,131,255    0.791    0.209    327.3
40     #fa01fa  250,1,250      0.692    0.318    328.4
41     #b200d4  178,0,212      0.559    0.270    318.9
42     #9369ff  147,105,255    0.638    0.213    292.1
43     #6e01f8  110,1,248      0.504    0.286    289.2
44     #0400e8  4,0,232        0.422    0.291    264.4
45     #060093  6,0,147        0.301    0.206    265.4
46     #000044  0,0,68         0.176    0.121    264.6
