--- Iterations ---
Total Iterations: 680,073,473
Ext Iterations: 323,283,350
TSP Iterations: 356,790

--- Statistics ---
Minimum Distance: 0.14248
Std Dev of NN Distances: 0.00009

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    171.1
1      #002000  0,32,0         0.211    0.071    142.8
2      #00334f  0,51,79        0.307    0.070    240.1
3      #284400  40,68,0        0.350    0.096    131.0
4      #007108  0,113,8        0.476    0.159    143.0
5      #836000  131,96,0       0.511    0.105    82.9
6      #d16a00  209,106,0      0.635    0.158    54.3
7      #8f827f  143,130,127    0.617    0.017    31.1
8      #01ab95  1,171,149      0.663    0.121    179.5
9      #00deb2  0,222,178      0.802    0.156    171.8
10     #acffba  172,255,186    0.929    0.124    148.7
11     #ffffff  255,255,255    1.000    0.000    119.2
12     #ffcea0  255,206,160    0.883    0.082    64.1
13     #fe9a01  254,154,1      0.773    0.173    65.2
14     #cccf23  204,207,35     0.825    0.173    110.7
15     #fffd01  255,253,1      0.964    0.209    109.3
16     #77ff2e  119,255,46     0.888    0.259    137.8
17     #00d104  0,209,4        0.747    0.254    142.6
18     #00a001  0,160,1        0.610    0.208    142.5
19     #a59f01  165,159,1      0.686    0.147    107.3
20     #b0b2a5  176,178,165    0.759    0.018    114.0
21     #ff899b  255,137,155    0.764    0.143    11.5
22     #ff345f  255,52,95      0.655    0.234    15.8
23     #ff07bb  255,7,187      0.668    0.282    344.9
24     #c56db8  197,109,184    0.659    0.146    332.8
25     #ff77fe  255,119,254    0.776    0.226    327.7
26     #b1a2ff  177,162,255    0.761    0.132    290.2
27     #ffbdfb  255,189,251    0.877    0.110    328.6
28     #a3e1ff  163,225,255    0.879    0.076    228.8
29     #01c0fd  1,192,253      0.758    0.151    230.0
30     #3a8dd0  58,141,208     0.623    0.129    246.4
31     #765ba5  118,91,165     0.531    0.116    299.4
32     #004c9d  0,76,157       0.427    0.148    256.4
33     #00747d  0,116,125      0.509    0.087    204.4
34     #5b4753  91,71,83       0.423    0.033    342.6
35     #800067  128,0,103      0.407    0.177    339.7
36     #5600a2  86,0,162       0.386    0.209    297.5
37     #440052  68,0,82        0.281    0.136    319.3
38     #460800  70,8,0         0.255    0.094    33.0
39     #840000  132,0,0        0.385    0.158    29.2
40     #c61000  198,16,0       0.523    0.209    30.2
41     #c5007c  197,0,124      0.541    0.224    352.2
42     #9b00bc  155,0,188      0.507    0.245    318.3
43     #d114ff  209,20,255     0.639    0.303    317.6
44     #8f67fe  143,103,254    0.632    0.214    291.3
45     #7100fe  113,0,254      0.513    0.292    289.1
46     #0162ff  1,98,255       0.555    0.246    261.4
47     #0901e4  9,1,228        0.418    0.287    264.8
48     #050091  5,0,145        0.298    0.204    265.1
49     #020047  2,0,71         0.181    0.123    265.9
50     #140008  20,0,8         0.125    0.052    353.7
