--- Iterations ---
Total Iterations: 31,741,059
Ext Iterations: 876,862
TSP Iterations: 30,864

--- Statistics ---
Minimum Distance: 0.24835
Std Dev of NN Distances: 0.00019

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.018    220.5
1      #390800  57,8,0         0.229    0.079    35.6
2      #005b01  0,91,1         0.408    0.138    142.6
3      #00af00  0,175,0        0.652    0.222    142.5
4      #90fe02  144,254,2      0.896    0.256    133.8
5      #f6a301  246,163,1      0.778    0.166    72.4
6      #fd0141  253,1,65       0.628    0.252    20.6
7      #ff98f1  255,152,241    0.814    0.164    332.2
8      #fffff6  255,255,246    0.996    0.011    104.8
9      #03d2ff  3,210,255      0.799    0.146    220.8
10     #837d8a  131,125,138    0.599    0.022    308.3
11     #800076  128,0,118      0.414    0.186    332.5
12     #c601ff  198,1,255      0.620    0.305    315.0
13     #0e44ff  14,68,255      0.508    0.275    264.4
14     #040082  4,0,130        0.276    0.189    265.2
