--- Iterations ---
Total Iterations: 656,556,790
Ext Iterations: 313,621,262
TSP Iterations: 342,935

--- Statistics ---
Minimum Distance: 0.14331
Std Dev of NN Distances: 0.00011

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.018    168.8
1      #001b01  0,27,1         0.194    0.064    143.5
2      #3e3500  62,53,0        0.329    0.068    98.7
3      #790001  121,0,1        0.361    0.148    29.0
4      #b32700  179,39,0       0.501    0.181    33.7
5      #fe0136  254,1,54       0.629    0.253    23.0
6      #ff41a9  255,65,169     0.685    0.240    352.2
7      #f901ff  249,1,255      0.692    0.320    327.1
8      #ff81ff  255,129,255    0.788    0.213    327.5
9      #ada4ff  173,164,255    0.761    0.129    287.5
10     #fec0ff  254,192,255    0.884    0.107    326.0
11     #9fe3ff  159,227,255    0.880    0.078    225.7
12     #ffffff  255,255,255    1.000    0.000    146.6
13     #fed198  254,209,152    0.887    0.089    73.1
14     #f79c01  247,156,1      0.766    0.167    68.6
15     #ce6a00  206,106,0      0.629    0.156    54.9
16     #ba7294  186,114,148    0.640    0.101    350.5
17     #ff8f9e  255,143,158    0.774    0.136    12.2
18     #b2b39d  178,179,157    0.760    0.031    109.5
19     #9c9d01  156,157,1      0.673    0.147    110.0
20     #17c300  23,195,0       0.710    0.239    142.0
21     #4ffa01  79,250,1       0.862    0.278    140.0
22     #bece00  190,206,0      0.811    0.184    115.4
23     #feff00  254,255,0      0.967    0.211    110.0
24     #a5ffb6  165,255,182    0.925    0.132    149.1
25     #01dba7  1,219,167      0.792    0.161    167.9
26     #01a88c  1,168,140      0.654    0.123    175.1
27     #00c0ef  0,192,239      0.750    0.140    223.5
28     #5f8bc1  95,139,193     0.627    0.095    254.2
29     #007777  0,119,119      0.517    0.088    194.3
30     #006101  0,97,1         0.425    0.144    142.6
31     #018f00  1,143,0        0.562    0.191    142.5
32     #7c6900  124,105,0      0.524    0.108    96.5
33     #664b54  102,75,84      0.446    0.038    357.3
34     #8054a9  128,84,169     0.531    0.135    306.3
35     #b601ce  182,1,206      0.561    0.266    321.7
36     #c50177  197,1,119      0.539    0.222    353.9
37     #820069  130,0,105      0.411    0.179    339.3
38     #5e00ac  94,0,172       0.407    0.219    298.5
39     #7d07ff  125,7,255      0.528    0.291    292.8
40     #9f68ff  159,104,255    0.649    0.215    296.9
41     #316aff  49,106,255     0.579    0.230    264.3
42     #2500fd  37,0,253       0.458    0.306    268.0
43     #0800ab  8,0,171        0.337    0.230    265.4
44     #0054ab  0,84,171       0.456    0.156    256.1
45     #003a5d  0,58,93        0.335    0.082    243.6
46     #00005b  0,0,91         0.213    0.147    264.2
47     #440059  68,0,89        0.289    0.142    315.1
48     #3e000a  62,0,10        0.230    0.092    18.8
49     #0c0018  12,0,24        0.121    0.062    307.2
