--- Iterations ---
Total Iterations: 142,775,327
Ext Iterations: 57,041,445
TSP Iterations: 85,733

--- Statistics ---
Minimum Distance: 0.19596
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.020    161.8
1      #003001  0,48,1         0.269    0.091    142.7
2      #026a00  2,106,0        0.454    0.154    142.4
3      #005a86  0,90,134       0.445    0.102    240.0
4      #009a91  0,154,145      0.618    0.108    187.5
5      #93b700  147,183,0      0.727    0.177    122.6
6      #02fe00  2,254,0        0.864    0.294    142.5
7      #fafd56  250,253,86     0.962    0.182    110.5
8      #02ffe2  2,255,226      0.896    0.162    180.5
9      #fdeeff  253,238,255    0.966    0.028    322.5
10     #ffab78  255,171,120    0.812    0.119    51.4
11     #ff9afd  255,154,253    0.823    0.171    327.6
12     #ff03ce  255,3,206      0.676    0.293    339.8
13     #a51cfd  165,28,253     0.581    0.288    305.4
14     #67009c  103,0,156      0.403    0.207    307.3
15     #010080  1,0,128        0.272    0.188    264.3
16     #1900f0  25,0,240       0.437    0.296    266.4
17     #007dff  0,125,255      0.610    0.214    256.7
18     #76beff  118,190,255    0.780    0.118    247.0
19     #aa75b0  170,117,176    0.638    0.105    323.3
20     #a26b00  162,107,0      0.571    0.121    73.8
21     #ff414b  255,65,75      0.662    0.224    23.4
22     #af005e  175,0,94       0.490    0.199    359.0
23     #680100  104,1,0        0.326    0.133    29.5
24     #1f0020  31,0,32        0.170    0.079    327.0
