--- Iterations ---
Total Iterations: 539,626,455
Ext Iterations: 249,365,824
TSP Iterations: 290,260

--- Statistics ---
Minimum Distance: 0.14838
Std Dev of NN Distances: 0.00009

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    163.7
1      #00003a  0,0,58         0.159    0.109    264.6
2      #3b003a  59,0,58        0.247    0.113    329.4
3      #542900  84,41,0        0.334    0.080    57.3
4      #005105  0,81,5         0.377    0.125    143.2
5      #006d71  0,109,113      0.484    0.082    199.7
6      #004cab  0,76,171       0.439    0.166    258.4
7      #0000ff  0,0,255        0.452    0.313    264.1
8      #6350ff  99,80,255      0.561    0.247    279.7
9      #0081cf  0,129,207      0.585    0.151    246.2
10     #01b6e4  1,182,228      0.723    0.136    224.3
11     #93dfff  147,223,255    0.865    0.087    226.5
12     #00d9aa  0,217,170      0.786    0.156    170.0
13     #00c202  0,194,2        0.704    0.239    142.5
14     #3afe00  58,254,0       0.870    0.288    141.2
15     #bbd101  187,209,1      0.816    0.189    117.2
16     #fffe01  255,254,1      0.966    0.210    109.5
17     #a3ffba  163,255,186    0.925    0.129    151.3
18     #ffffff  255,255,255    1.000    0.000    71.6
19     #ffcf94  255,207,148    0.884    0.093    72.4
20     #b6afa4  182,175,164    0.756    0.017    78.6
21     #a59b00  165,155,0      0.677    0.144    105.0
22     #fe8f00  254,143,0      0.755    0.177    60.1
23     #c96100  201,97,0       0.609    0.157    51.8
24     #7b5b00  123,91,0       0.491    0.101    84.1
25     #0a7f00  10,127,0       0.517    0.174    142.1
26     #00a57e  0,165,126      0.640    0.128    168.8
27     #8c7f84  140,127,132    0.609    0.017    351.4
28     #774d89  119,77,137     0.491    0.104    315.2
29     #7a0049  122,0,73       0.380    0.157    353.4
30     #b20003  178,0,3        0.479    0.196    28.9
31     #bc007c  188,0,124      0.525    0.219    349.6
32     #ff05b1  255,5,177      0.663    0.278    347.8
33     #ff0947  255,9,71       0.635    0.252    19.4
34     #ff7b9b  255,123,155    0.744    0.162    6.9
35     #ff76fe  255,118,254    0.774    0.229    327.6
36     #febdf9  254,189,249    0.875    0.107    328.8
37     #ae9fff  174,159,255    0.754    0.136    289.9
38     #b764c2  183,100,194    0.633    0.162    323.2
39     #d802ff  216,2,255      0.645    0.310    319.4
40     #9201c8  146,1,200      0.504    0.252    312.0
41     #560093  86,0,147       0.371    0.196    302.0
42     #020091  2,0,145        0.298    0.205    264.5
43     #003b56  0,59,86        0.333    0.071    235.6
44     #002600  0,38,0         0.231    0.079    142.6
45     #180000  24,0,0         0.132    0.054    28.2
