--- Iterations ---
Total Iterations: 20,126,675
Ext Iterations: 373,589
TSP Iterations: 19,753

--- Statistics ---
Minimum Distance: 0.27704
Std Dev of NN Distances: 0.00008

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.010    35.0
1      #004c01  0,76,1         0.361    0.122    142.7
2      #b12a00  177,42,0       0.499    0.176    34.8
3      #a700c8  167,0,200      0.534    0.258    318.7
4      #ff8bff  255,139,255    0.802    0.196    327.1
5      #ff9911  255,153,17     0.772    0.172    63.8
6      #ffffff  255,255,255    1.000    0.000    81.1
7      #8ffe01  143,254,1      0.896    0.257    134.0
8      #12a400  18,164,0       0.624    0.210    142.0
9      #009ee6  0,158,230      0.665    0.151    239.5
10     #0204ff  2,4,255        0.453    0.312    264.2
11     #090061  9,0,97         0.228    0.151    268.9
