--- Iterations ---
Total Iterations: 883,317,491
Ext Iterations: 421,863,445
TSP Iterations: 461,454

--- Statistics ---
Minimum Distance: 0.13402
Std Dev of NN Distances: 0.00011

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.015    188.2
1      #2d000b  45,0,11        0.190    0.076    10.4
2      #001f00  0,31,0         0.206    0.070    142.5
3      #003650  0,54,80        0.315    0.069    236.8
4      #005f61  0,95,97        0.441    0.075    197.8
5      #004700  0,71,0         0.344    0.117    142.5
6      #047000  4,112,0        0.472    0.160    142.3
7      #008c74  0,140,116      0.571    0.108    174.7
8      #0c9f00  12,159,0       0.610    0.206    142.2
9      #9fa601  159,166,1      0.697    0.155    113.0
10     #867900  134,121,0      0.570    0.119    102.1
11     #7a6a73  122,106,115    0.543    0.024    344.1
12     #af4800  175,72,0       0.531    0.151    45.3
13     #684f00  104,79,0       0.441    0.090    87.4
14     #4b2600  75,38,0        0.312    0.074    58.9
15     #890700  137,7,0        0.399    0.160    30.1
16     #9f0064  159,0,100      0.462    0.192    351.9
17     #dc0050  220,0,80       0.569    0.227    13.0
18     #fe4d00  254,77,0       0.666    0.223    37.0
19     #c2855c  194,133,92     0.670    0.094    54.3
20     #ffa023  255,160,35     0.785    0.166    66.2
21     #ff9aa4  255,154,164    0.792    0.122    13.4
22     #ffd1a4  255,209,164    0.890    0.079    66.7
23     #ffffff  255,255,255    1.000    0.000    34.7
24     #baffb7  186,255,183    0.936    0.118    143.8
25     #fefe00  254,254,0      0.966    0.211    109.8
26     #c3d518  195,213,24     0.830    0.185    115.9
27     #5afb00  90,251,0       0.868    0.276    139.3
28     #14cd00  20,205,0       0.737    0.249    142.1
29     #01eaa2  1,234,162      0.827    0.181    162.1
30     #01ba92  1,186,146      0.702    0.138    170.2
31     #b1ba9a  177,186,154    0.772    0.045    120.7
32     #7898ae  120,152,174    0.664    0.049    238.7
33     #01c4f7  1,196,247      0.762    0.145    225.6
34     #9ee3ff  158,227,255    0.879    0.079    225.6
35     #fdc4ff  253,196,255    0.890    0.100    325.4
36     #b1aaff  177,170,255    0.776    0.120    287.3
37     #588eff  88,142,255     0.665    0.177    263.2
38     #155eff  21,94,255      0.551    0.248    262.8
39     #6800f1  104,0,241      0.491    0.281    288.3
40     #0600e4  6,0,228        0.417    0.287    264.6
41     #020096  2,0,150        0.305    0.211    264.4
42     #004aa1  0,74,161       0.425    0.155    257.7
43     #0079b7  0,121,183      0.553    0.131    241.7
44     #7d5cca  125,92,202     0.563    0.163    294.5
45     #b96fa5  185,111,165    0.640    0.117    338.0
46     #ff49ae  255,73,174     0.693    0.234    351.0
47     #ff86ff  255,134,255    0.795    0.205    327.4
48     #b970ff  185,112,255    0.687    0.208    305.2
49     #ab0bff  171,11,255     0.585    0.296    307.3
50     #ef01fa  239,1,250      0.675    0.314    325.8
51     #cb00a8  203,0,168      0.571    0.250    338.3
52     #8c00af  140,0,175      0.474    0.232    316.4
53     #50008f  80,0,143       0.360    0.192    300.0
54     #603e69  96,62,105      0.421    0.080    319.3
55     #550040  85,0,64        0.303    0.130    341.8
56     #210053  33,0,83        0.229    0.129    290.6
57     #010020  1,0,32         0.112    0.074    268.6
